date,country,node1,node2,orderCode,status,resistR,reactX,susceptanceB,currentLimA,elementName
2007-05-01,AT,O6MNGN21,O6MNGN22,1,2,.00000,.00000,0.000000,2400,MNCPL1
2007-05-01,AT,O6MNGN21,O6WERB22,1,0,.37000,5.6400,64.90530,2400,406C
2007-05-01,AT,O6WALG21,O6WERB21,1,0,.88000,10.910,125.3495,2040,405B
2007-05-01,AT,O6WERB21,O6WERB22,1,2,.00000,.00000,0.000000,2500,WERBCPL1
2007-05-01,AT,O9KIRB21,O9STRA21,1,0,.67000,7.5000,98.64600,1200,279
2007-05-01,AT,O9KIRB21,O9STRA21,2,0,.67000,7.5000,98.64600,1200,280
2007-05-01,AT,O9PRUT21,OWESTT21,1,0,1.5500,8.4000,103.0442,1200,277
2007-05-01,AT,O9PRUT21,OWESTT22,2,0,1.5500,8.4000,103.1070,1200,278
2007-05-01,AT,O9STRA21,O9THAU21,1,0,2.8500,13.700,90.16370,1094,273B
2007-05-01,AT,O9STRA21,O9THAU21,2,0,2.8500,13.700,90.16370,1094,274B
2007-05-01,AT,O9STRA21,OZELL 21,1,0,1.5100,7.5400,62.46000,1674,273A
2007-05-01,AT,O9STRA21,OZELL 22,2,0,1.5100,7.5400,67.17000,1674,274A
2007-05-01,AT,O9THAU21,O9YVIL21,1,0,.70000,3.4700,24.14000,1572,273C-THA
2007-05-01,AT,O9THAU21,O9YVIL22,2,0,.70000,3.4700,24.14000,1572,274C-THA
2007-05-01,AT,O9VILL21,O9YVIL21,1,0,.50000,5.0000,0.000000,1572,273C-VIL
2007-05-01,AT,O9VILL21,O9YVIL22,2,0,.50000,5.0000,0.000000,1572,274C-VIL
2007-05-01,AT,OABW  51,OABW  52,1,2,.00000,.00000,0.000000,2400,ABW 5CPL1
2007-05-01,AT,OABW  51,OENNSI51,1,0,.64000,2.6000,166.3159,600,154-7
2007-05-01,AT,OABW  51,OERNST51,1,0,.42300,4.9640,71.78000,2176,152-0
2007-05-01,AT,OABW  51,OPICHL51,1,0,.16500,1.7920,27.88000,2080,152-11
2007-05-01,AT,OABW  51,OPICHL51,2,0,.16500,1.7920,27.88000,2080,152-12
2007-05-01,AT,OABW  51,OWEGSC51,1,0,.32500,4.0070,53.68400,2176,152-9
2007-05-01,AT,OABW  52,OMAUTH51,1,0,1.0400,3.8600,27.49521,600,154-8
2007-05-01,AT,OAIGER51,OANTHI51,1,0,2.1780,5.2800,37.73000,515,188-3A
2007-05-01,AT,OAIGER51,OPASSA51,1,0,3.6500,12.600,83.59700,480,188-1
2007-05-01,AT,OALTEN21,ODUERN21,1,0,.44000,2.3000,16.33628,354,215A
2007-05-01,AT,OALTEN22,ODUERN21,2,0,.44000,2.3000,16.33628,354,215B
2007-05-01,AT,OALTEN23,ODUERN21,3,0,.44000,2.3000,16.33628,354,215C
2007-05-01,AT,OAMSCH51,OBERGE51,1,0,1.2900,3.7200,22.68200,500,168-7
2007-05-01,AT,OAMSCH51,OZWETT51,1,0,2.1700,14.550,116.5530,500,166-0-9
2007-05-01,AT,OAMSTE51,OAMSTE52,1,2,.00000,.00000,0.000000,2400,AMCPL1
2007-05-01,AT,OAMSTE51,OERNST53,1,0,2.8460,8.9300,144.4000,600,154-0
2007-05-01,AT,OAMSTE51,OGERST51,1,0,2.1790,8.7210,86.90000,535,164-4-7
2007-05-01,AT,OAMSTE51,OGREST51,1,0,2.1680,10.900,87.59000,574,164-3
2007-05-01,AT,OAMSTE52,OYAMST51,1,0,1.9380,6.0800,37.32000,605,168-4-AMST
2007-05-01,AT,OAMSTE52,OYAMST52,2,0,1.9400,6.1000,37.47000,605,168-5-AMST
2007-05-01,AT,OANDAU51,OZURND51,1,0,.48700,2.0060,1291.980,960,140-3
2007-05-01,AT,OANDAU51,OZURND51,2,0,.48700,2.0060,1291.980,960,140-4
2007-05-01,AT,OANNAB51,OARTHU51,1,0,4.5440,12.190,122.4278,600,162-5C
2007-05-01,AT,OANNAB51,OUNTER51,1,0,5.2467,14.105,128.8995,560,162-5D
2007-05-01,AT,OANTHI51,OEGGLF51,1,0,.83000,3.7000,23.97000,535,188-3B
2007-05-01,AT,OARTHU51,OSCHWZ51,1,0,1.5940,4.4700,18.91238,575,162-4
2007-05-01,AT,OARTHU51,OSTROB51,1,0,8.7140,21.470,15.40951,550,162-6C
2007-05-01,AT,OASCHA21,OHAUSR21,1,8,3.4780,19.630,169.8973,1002,203B
2007-05-01,AT,OASCHA21,OPETER21,1,0,4.2700,28.500,296.2836,1002,203A
2007-05-01,AT,OASPER51,OSTADL51,1,0,.13400,.36700,409.0000,455,143-1
2007-05-01,AT,OASPER51,OSTADL51,2,0,.13400,.36700,409.0000,455,143-2
