date,country,node1,node2,orderCode,status,resistR,reactX,susceptanceB,currentLimA,elementName
2007-05-01,BE,BAALNO31,BSTGIL3R,6,0,0.6001,3.1201,22.30222,959,DI 150 136 A
2007-05-01,BE,BAALNO32,BSTGIL3U,7,0,0.6001,3.1201,22.30222,959,DI 150 137 A
2007-05-01,BE,BAALST31,BNINO+3R,9,0,0.7340,3.6221,25.88445,898,DI 150 159 A
2007-05-01,BE,BAALTR31,BEEKLN31,5,0,1.0899,6.5601,46.40000,959,DI 150 165 A
2007-05-01,BE,BAALTR32,BEEKLN32,6,0,1.0899,6.5601,46.40000,959,DI 150 166 A
2007-05-01,BE,BACHEN11,BACHES11,1,0,0.0144,0.1444,0,2317,DI 380 200 A
2007-05-01,BE,BACHEN11,BGRAMM1A,1,0,1.1436,12.104,141.4737,2223,DI   380  10
2007-05-01,BE,BACHEN11,XAC_LO11,9,0,0.7844,9.5413,94.12199,2148,DI   380  19
2007-05-01,BE,BACHEN12,BACHEN11,1,2,0,0,0,999999,ACHEN380 //
2007-05-01,BE,BAIRLI31,BPEMA+32,2,0,0.2601,0.9099,6.257778,704,DI 150 42 AI
2007-05-01,BE,BALEGR11,BLIXHE11,5,0,0.0033,0.0500,24.53406,1591,DI 380 115 A
2007-05-01,BE,BALEGR11,XLI_OB1B,1,0,0.0009,0.0500,7.445575,1635,DI 380 F 1 A
2007-05-01,BE,BALZ  31,BLANLO32,2,0,0.0450,0.3110,2.800000,1143,DI 150 252 A
2007-05-01,BE,BALZ  33,BLANLO31,3,0,0.0081,0.0500,0.320000,959,DI 150 253 A
2007-05-01,BE,BALZ  34,BLANLO31,4,0,0.0081,0.0500,0.320000,959,DI 150 254 A
2007-05-01,BE,BALZ  32,BLANLO31,1,0,0.0511,0.3510,2.924444,959,DI 150 251 A
2007-05-01,BE,BAMERC3C,BGOUY 31,6,0,0.1179,1.0301,1108.418,1501,DI 150 406 A
2007-05-01,BE,BAMERC31,BDAMPR3R,9,0,0.1849,0.9338,17.79915,1265,DI 150 89 AM
2007-05-01,BE,BAMERC31,BGOUY 32,8,0,0.4021,1.9710,47.80444,1265,DI 150 88 AM
2007-05-01,BE,BAMOCO31,BCAMOC31,1,0,0.2000,0.1899,73.77778,385,DI 150 321 A
2007-05-01,BE,BAMOCO31,BHEZE 31,2,0,0.2430,1.8976,13.23222,1143,DI 150 142 A
2007-05-01,BE,BAMOCO31,BMEERH32,6,0,0.2740,1.9310,14.00000,1143,DI 150 156 A
2007-05-01,BE,BANDUM31,BLANLO31,1,0,0.0590,0.4180,15.20000,2461,DI 150 391 A
