date,country,node1,node2,orderCode,status,resistR,reactX,susceptanceB,currentLimA,elementName
2007-05-01,CH,SAATHA21,SAATHA22,9,2,0.0,0.0,0.0,,SUAA2__1A-1B
2007-05-01,CH,SAATHA21,SAATHA2A,Y,1,-0.0,0.0501,0.0,567,LOAA20T1__1A
2007-05-01,CH,SAATHA21,SGRYNA22,1,0,1.206,6.635,128.905,1240,1_LN200121__
2007-05-01,CH,SAATHA22,SAATHA2B,Y,1,-0.0,0.0501,0.0,567,LOAA20T2__1B
2007-05-01,CH,SAATHA22,SBREIT22,1,0,1.444,7.892,98.2438,1300,1_LN200120__
2007-05-01,CH,SAIROL21,SAIROL22,9,7,0.0,0.0,0.0,,SUAI2__S1-S2
2007-05-01,CH,SAIROL21,SAIROL23,0,7,0.0,0.0,0.0,,SUAI2__S1-VP
2007-05-01,CH,SAIROL21,SAIROL2B,Y,9,-0.0,0.0501,0.0,126,GEAI2021__S1
2007-05-01,CH,SAIROL22,SAIROL23,0,2,0.0,0.0,0.0,,SUAI2__S2-VP
2007-05-01,CH,SAIROL22,SAIROL2B,Y,9,-0.0,0.0501,0.0,126,GEAI2021__S2
2007-05-01,CH,SAIROL22,SLAVOR24,1,0,0.718,7.431,81.7562,2400,1_LN200088__
2007-05-01,CH,SAIROL22,SMETTL23,1,0,2.767,28.751,315.3926,2400,1_LN200122__
2007-05-01,CH,SAIROL22,SROBIE21,1,0,0.639,6.569,63.67769,917,1_LN201245__
2007-05-01,CH,SAIROL22,SY_ACQ21,1,0,0.246,3.47,39.09091,1250,1_LN201171__
2007-05-01,CH,SAIROL22,SY_KUS21,1,8,2.243,25.07,275.2893,2400,1_LN201268__
2007-05-01,CH,SAIROL22,SY_PLA21,1,8,1.053,11.177,177.2521,2400,1_LN201266__
2007-05-01,CH,SAIROL23,SAIROL2A,Y,1,-0.0,0.0501,0.0,252,LOAI2023__VP
2007-05-01,CH,SAIROL23,SAIROL2C,Y,1,-0.0,0.0501,0.0,126,GEAI2022__VP
2007-05-01,CH,SALTGA21,SALTGA22,9,2,0.0,0.0,0.0,,SUAT2__1A-1B
2007-05-01,CH,SALTGA21,SALTGA2B,Y,1,-0.0,0.0501,0.0,441,LOAT20T2__1A
2007-05-01,CH,SALTGA21,SSAMST21,1,0,0.818,4.75,53.16116,1300,1_LNC20029__
2007-05-01,CH,SALTGA22,SALTGA2A,Y,1,-0.0,0.0501,0.0,567,LOAT20T1__1B
2007-05-01,CH,SALTGA22,SMETTL22,1,0,0.959,5.53,62.80992,1300,1_LN201164__
2007-05-01,CH,SASPHA11,SASPHA12,0,2,0.0,0.0,0.0,,SUAH3__S1-S2
2007-05-01,CH,SASPHA11,SASPHA13,0,7,0.0,0.0,0.0,,SUAH3__S1-HS
2007-05-01,CH,SASPHA11,SASPHA1A,Y,1,-0.0,0.0501,0.0,328,LOAH30T3__S1
2007-05-01,CH,SASPHA11,SLAUFE1C,1,0,0.675,7.598,85.60942,2000,1_LN300146__
2007-05-01,CH,SASPHA11,XAS_KU11,1,0,0.3895,3.5915,60.45014,2530,1_LN300128__
2007-05-01,CH,SASPHA12,SASPHA13,0,7,0.0,0.0,0.0,,SUAH3__S2-HS
2007-05-01,CH,SASPHA12,SASPHA1A,Y,9,-0.0,0.0501,0.0,328,LOAH30T3__S2
2007-05-01,CH,SASPHA12,SGOESG12,1,0,1.342,14.063,157.2161,2400,1_LN300125__
2007-05-01,CH,SASPHA12,XAS_SI11,1,0,0.461,4.5535,70.04848,2400,1_LN300129__
2007-05-01,CH,SASPHA13,SASPHA1A,Y,9,-0.0,0.0501,0.0,328,LOAH30T3__HS
2007-05-01,CH,SAUWIE21,SAUWIE22,0,2,0.0,0.0,0.0,,SUAW2__S1-S2
2007-05-01,CH,SAUWIE21,SAUWIE2A,Y,1,-0.0,0.0501,0.0,882,LOAW21T1__S1
