date,country,node1,node2,orderCode,status,resistR,reactX,susceptanceB,currentLimA,elementName
2007-05-01,IT,XLI_SO21,ISOVVA21,1,8,3.4840,19.282,125.4900,704,SOVVTILN 1
2007-05-01,IT,XB._CA21,ICMPTA22,1,0,0.3125,2.2850,16.92000,1165,CMPTTIZM 1
2007-05-01,IT,XAL_RO11,IRONT112,1,0,1.7150,28.310,317.8200,2370,RONTTIAB 1
2007-05-01,IT,XAL_RO12,IRONT113,2,0,1.7200,28.365,318.3200,2370,RONTTIAB 2
2007-05-01,IT,XVL_VE11,IVNST111,1,0,0.4725,5.5635,42.90000,2715,VNSTTIVL 1
2007-05-01,IT,XKO_LA11,IKOTR111,1,0,0.0025,0.1500,0.050000,1600,KOTR_ILA 1
2007-05-01,IT,XKO_LA12,IKOTR211,2,0,0.0025,0.1500,0.050000,1600,KOTR_ILA 2
2007-05-01,IT,XPA_DI21,IPDRV121,1,8,0.3370,2.4390,16.11000,960,PDRVTIDI 1
2007-05-01,IT,XRE_DI11,IRDPVA11,1,0,0.5200,7.1115,96.35001,2450,RDPVTIDI 1
2007-05-01,IT,XRI_AV21,IAVITA21,1,0,2.0620,12.382,89.71001,1010,AVITTIRI 1
2007-05-01,IT,XSO_BU11,IBULM111,1,0,1.1790,14.211,153.8600,2300,BULMTISO 1
2007-05-01,IT,XME_CA11,ICAGMA11,1,0,0.1335,1.0425,197.6200,855,CAGMTIME 1
2007-05-01,IT,XRO_GO11,IGORM111,1,0,1.1510,17.067,235.2900,2500,GORMTIRO 1
2007-05-01,IT,XGO_ME21,IMESM121,1,0,1.8140,9.6705,59.03000,900,MESMTIGO 1
2007-05-01,IT,XLA_MU11,IMUSM111,1,0,0.9005,9.8225,110.1300,2270,MUSMTILA 1
2007-05-01,IT,XSE_PA21,IPLLTA21,1,0,0.9060,4.8305,31.89000,900,PLLTTISE 1
2007-05-01,IT,XAL_PO21,IPONTA21,1,0,0.4370,2.6860,17.11000,900,PONTTIAC 1
2007-05-01,IT,XRO_SF11,ISFIM111,1,0,0.5820,8.4750,109.8300,2500,SFIMTIRO 1
2007-05-01,IT,XRI_VA21,IVALT121,1,0,1.8635,11.203,77.76001,1010,VALTTIRI 1
2007-05-01,IT,XPI_GI11,IPIOTA11,1,8,0.0050,0.1500,0.010000,1920,PIOTTIFRIT_I
2007-05-01,IT,XPI_GI12,IPIOTA11,2,0,0.0050,0.1500,0.010000,1920,PIOTTIFRIT_I
