date,country,node1,node2,orderCode,status,resistR,reactX,susceptanceB,currentLimA,elementName
2007-05-01,NL,NHELD131,NBOEK 3A,1,0,0.4841,4.4423,64.20543,2069,HELD-BOEK150
2007-05-01,NL,NSNCM 3A,NMDK153B,1,0,0.1500,0.8620,8.413185,500,MDK-SHL150 Z
2007-05-01,NL,NNRB153A,NNRB1531,1,2,0,0,0,999999,KV_VS1
2007-05-01,NL,NSWB153A,NNRB153B,1,0,0.1877,0.6902,0.031416,792,SWB-NRB150
2007-05-01,NL,NSWB153A,NSWB1531,1,2,0,0,0,999999,KV_VS1
2007-05-01,NL,NSBRN132,NSRBN 3B,1,2,0,0,0,999999,GRTHW_LL
2007-05-01,NL,NAPL1531,NAPL153A,1,0,0.0280,0.4170,174.6725,5000,APL-GASU150
2007-05-01,NL,NVAAR 3B,NMKT153B,1,0,0.3700,0.6100,153.9386,400,VAAR-MKT150
2007-05-01,NL,NHELD130,NHELD 3C,1,0,0.0055,0.0502,0.676969,2069,C-MBT-HELD15
2007-05-01,NL,NTERW130,NSBLTW3,1,0,0.5680,3.1114,40.80368,1000,TERW-SBRN-LI
2007-05-01,NL,NNRB153B,NNRB1531,1,2,0,0,0,999999,KV_VS2
2007-05-01,NL,NSWB153B,NSWB1531,1,2,0,0,0,999999,KV_VS2
2007-05-01,NL,NSBRN13A,NSRBN 3A,1,7,0,0,0,999999,TERWZ_LL
2007-05-01,NL,NNRB153C,NNRB1531,1,2,0,0,0,999999,KV_VS3
2007-05-01,NL,NSWB153C,NGRTH 3B,1,0,0.1505,0.3921,0.031416,792,GRTH-SWB150
2007-05-01,NL,NSWB153C,NSWB1531,1,2,0,0,0,999999,KV_VS3
2007-05-01,NL,NDKG3811,NDKG381B,1,0,0.3466,5.7760,36.28809,2000,EH20_KABEL
2007-05-01,NL,NDKG3810,NDKG381A,1,0,0.3466,5.7760,36.28809,2000,EH10_KABEL
2007-05-01,NL,NDKG3812,NDKG381A,1,0,0.3466,5.7760,36.28809,2000,EH30_KABEL
2007-05-01,NL,NEEM222I,NEEM222B,1,2,0,0,0,999999,K6_VSK
2007-05-01,NL,NTNT153A,NGVT2 3B,1,0,0.6600,2.3350,189.1239,700,GVT2TNT-ERPW
2007-05-01,NL,NBKZ1531,NOTL153I,1,0,0.2580,1.1510,586.3060,539,OTL-BKZ150 W
2007-05-01,NL,NAMLD 5A,NAMLT 5A,1,0,0.1956,0.2526,121.5891,400,AMLD-AMLT110
2007-05-01,NL,NAMLU 5A,NAMLT 5A,1,0,0.1976,0.2908,209.9143,330,AMLU-AMLT110
2007-05-01,NL,NENS1151,NEMZ1151,2,0,0.1300,1.9700,1198.832,1706,ENS-EMZ110W
2007-05-01,NL,NEBG115A,NHBG115B,1,0,1.3400,2.7470,19.15429,180,EBG-HBG110 Z
2007-05-01,NL,NEMZ1151,NENS1151,1,0,0.1300,1.9700,1198.832,1706,EMZ-ENS110 O
2007-05-01,NL,NEMZ1151,NEMZ1150,1,2,0,0,0,999999,KV_VS
2007-05-01,NL,NGNBH 5A,NGNHU 5A,1,0,0.0276,0.0503,35.50422,440,GNBH-GNHU11W
2007-05-01,NL,NKZZ1152,NKZZ1151,1,7,0,0,0,999999,CBS
2007-05-01,NL,NKZZ1152,NBGMR 5A,1,0,0.2736,0.8360,503.5470,440,BGMR-KZZ110W
2007-05-01,NL,NOMV115A,NOMV115B,1,2,0,0,0,999999,S3.0
2007-05-01,NL,NOMV115A,NOMD115A,1,0,0.5251,0.8124,596.6546,480,OMD-OMV110 Z
2007-05-01,NL,NSTR115A,NSTRD154,1,0,0.1677,0.5375,276.3911,1200,STRT-STRZ110
2007-05-01,NL,NSW1105A,NMP11052,1,0,2.8283,5.3448,37.03938,330,MP-SW110 W
2007-05-01,NL,NWMD1151,NEMZ1151,1,0,0.2300,2.8900,1662.028,1522,EMZ-WMD110 W
2007-05-01,NL,NWMD1151,NEMZ1150,1,0,0.2300,2.8900,1662.028,1522,EMZ-WMD110 P
2007-05-01,NL,NWMD1151,NWMD1150,1,2,0,0,0,999999,KV_VS
2007-05-01,NL,NDTO153A,NRSD153A,1,0,0.3210,2.5390,1225.851,1150,RSD-DTO150 W
2007-05-01,NL,NDTO153A,NRSD153B,1,0,0.3210,2.5390,1225.851,1150,RSD-DTO150 Z
2007-05-01,NL,NWTR153C,NDE15030,1,0,0.3045,2.3025,175.9418,1155,WTR-DE150 O
2007-05-01,NL,NARI1531,NHMO153A,1,0,0.7270,2.5560,14.59898,840,ARI-HMO150 Z
2007-05-01,NL,NARI1531,NARI153E,1,0,0.0137,0.0504,0.275016,840,C-ARI-HMO150
2007-05-01,NL,NEEM2220,NEEM2221,1,2,0,0,0,999999,K1_VSK
2007-05-01,NL,NEEM2224,NEEM2225,1,2,0,0,0,999999,K3_VSK
2007-05-01,NL,NZBK1531,NZBK153A,1,0,0.0300,0.2830,4.084071,1920,ZBK-WHS-DNT1
2007-05-01,NL,NTNT153B,NGVT2 3A,1,0,0.6600,2.3350,189.1239,700,GVT2TNT-ERPZ
2007-05-01,NL,NZVD153B,NZVD153A,1,2,0,0,0,999999,CBS
2007-05-01,NL,NDVTB 5B,NDVTB 5A,1,2,0,0,0,999999,CBS
2007-05-01,NL,NENS1150,NENS1151,1,2,0,0,0,999999,KV_VS
2007-05-01,NL,NEBG115B,NEBG115A,1,2,0,0,0,999999,CBS
2007-05-01,NL,NEBG115B,NHBG115A,1,0,1.3526,2.7728,19.33440,180,EBG-HBG110 W
