date,country,node1,node2,orderCode,status,resistR,reactX,susceptanceB,currentLimA,elementName
2007-05-01,PT,PZEZER31,PBOUCA31,1,0,4.5158,15.450,98.00000,473,
2007-05-01,PT,PZEZER31,PBOUCA31,2,0,4.5315,15.462,99.06666,473,
2007-05-01,PT,PSETUB31,PPALME31,1,0,0.3285,1.7708,11.77777,1001,
2007-05-01,PT,PSETUB31,PPALME31,2,0,0.3285,1.7302,11.55555,1001,
2007-05-01,PT,PSETUB31,PPALME31,3,0,0.3195,1.7122,11.37777,624,
2007-05-01,PT,PF.ALE31,PEVORA31,1,0,4.7205,25.128,168.9333,955,
2007-05-01,PT,PF.ALE31,POURIQ31,1,0,5.5012,18.373,122.0888,716,
2007-05-01,PT,PF.ALE31,PERMID31,1,0,1.7483,10.712,72.88888,1001,
2007-05-01,PT,PP.ALT31,PPALME31,1,0,4.5900,15.592,98.22222,716,
2007-05-01,PT,PP.ALT31,PPALME31,2,0,4.5225,15.439,97.95555,716,
2007-05-01,PT,PP.ALT31,PQ.GRA31,1,8,4.3470,14.634,95.55555,477,
2007-05-01,PT,PP.ALT31,PQ.GRA31,2,0,4.8870,17.235,103.0222,316,
2007-05-01,PT,PTUNES31,POURIQ31,1,0,6.3518,23.744,179.9555,785,
2007-05-01,PT,PTUNES31,PESTOI31,1,0,4.3942,19.734,142.8444,1001,
2007-05-01,PT,PTUNES31,PPORTI31,1,8,3.4087,11.126,77.55555,785,
2007-05-01,PT,PTUNES31,PPORTI31,2,0,3.4087,11.126,77.55555,785,
2007-05-01,PT,PTUNES31,PPORTI31,3,0,1.2398,12.971,160.4000,1001,
2007-05-01,PT,PTUNES31,PTAVIR31,1,0,5.2515,27.029,197.1111,1001,
2007-05-01,PT,PF.FER31,PPALME31,2,0,1.7730,9.1102,66.93333,1001,
2007-05-01,PT,PF.FER31,PPALME32,1,0,1.7730,9.1102,66.93333,1001,
2007-05-01,PT,PF.FER31,PTRAFA31,1,0,1.6763,5.4923,38.00000,785,
2007-05-01,PT,PF.FER31,PTRAFA31,2,0,1.6763,5.4923,38.00000,785,
2007-05-01,PT,PF.FER31,PTRAFA31,3,0,0.8550,5.3302,838.0000,1001,
2007-05-01,PT,PF.FER31,PTRAFA31,4,0,0.8550,5.3302,838.0000,1001,
2007-05-01,PT,PF.FER31,PQ.ANJ31,1,0,0.9495,4.8667,36.04444,1001,
2007-05-01,PT,PF.FER31,PFOGUE31,1,0,0.5693,1.7685,12.08888,316,
2007-05-01,PT,PF.FER31,PFOGUE31,2,8,0.5693,1.7685,12.08888,316,
2007-05-01,PT,PF.FER31,PLUSOS31,4,0,0.3578,1.8360,13.46666,982,
2007-05-01,PT,PPALME31,PPALME32,1,0,0.000,0.0315,0.00000,6001,
2007-05-01,PT,PPALME31,PQ.ANJ31,1,0,0.9180,4.7070,34.62222,1001,
2007-05-01,PT,PPALME31,PPEGOE31,1,0,2.0475,6.9637,44.13333,712,
2007-05-01,PT,PPALME31,PLUSOS31,4,0,1.4940,7.6590,56.57777,982,
2007-05-01,PT,PSINES31,PSINES32,1,8,0.000,0.0315,0.00000,6001,
2007-05-01,PT,PSINES31,POURIQ31,2,0,4.8465,24.597,183.3777,955,
2007-05-01,PT,PSINES31,PERMID31,1,8,2.1915,13.428,91.33333,1001,
2007-05-01,PT,PSINES31,PSABOI31,1,0,7.5037,24.558,170.0888,785,
2007-05-01,PT,PSINES31,PPORTI31,2,0,11.814,38.637,268.0888,785,
2007-05-01,PT,PSINES31,PCOG-A31,1,0,0.4140,2.1465,15.20000,500,
2007-05-01,PT,PSINES31,PCOG-A31,2,0,0.4140,2.1465,15.20000,500,
2007-05-01,PT,PSINES31,PCOG-C31,1,0,0.6345,2.6033,121.2000,500,
2007-05-01,PT,PVALDI31,PC.TAB31,1,0,1.8878,8.0685,51.86666,250,
2007-05-01,PT,PSINES32,POURIQ31,1,0,4.8465,24.597,183.3777,955,
2007-05-01,PT,PSINES32,PM.PED31,1,0,6.0773,21.546,134.9777,785,
2007-05-01,PT,PRIBAD31,PFAFE_31,1,0,3.7305,15.275,103.2444,785,
2007-05-01,PT,PRIBAD31,PFAFE_31,2,0,2.0250,12.870,110.2222,1051,
2007-05-01,PT,PRIBAD31,POLEIR31,1,0,3.6855,14.519,97.37777,473,
2007-05-01,PT,PRIBAD31,PCD-RA31,1,0,4.9545,13.367,89.20000,416,
2007-05-01,PT,PPALME32,PPEGOE32,1,0,2.1667,7.2450,47.77777,735,
2007-05-01,PT,PV.FRI31,POLEIR31,1,0,2.9137,9.2812,66.75555,473,
2007-05-01,PT,PV.FRI31,POLEIR31,2,0,2.9093,9.2498,67.02222,473,
2007-05-01,PT,PV.FRI31,PPEDRA31,2,0,4.9320,17.559,112.5777,785,
2007-05-01,PT,PEVORA31,PPEGOE31,1,0,9.9315,33.777,214.0444,712,
2007-05-01,PT,PFAFE_31,PCANIC31,1,0,3.2422,13.650,92.44444,785,
2007-05-01,PT,PFAFE_31,PPEAF_31,1,0,2.3760,12.235,88.84444,816,
2007-05-01,PT,POURIQ31,PTAVIR31,1,0,2.9812,14.035,277.2444,1432,
2007-05-01,PT,POURIQ31,PN.COR31,1,0,2.7270,9.2610,58.84444,473,
2007-05-01,PT,PESTOI31,PTAVIR31,1,8,2.6662,13.803,99.86666,1001,
2007-05-01,PT,PESTOI31,PTAVIR31,2,0,2.6662,13.803,99.86666,1001,
2007-05-01,PT,PESTOI31,PTAVIR31,3,0,3.5550,16.818,121.3333,1001,
2007-05-01,PT,PFALAG31,PC.BRA31,3,0,1.3230,13.983,172.0444,2002,
2007-05-01,PT,PFALAG31,PESTRE31,1,8,2.6190,28.485,308.7555,1001,
2007-05-01,PT,PFALAG31,PFRATE31,1,0,0.9810,3.3075,21.77777,751,
2007-05-01,PT,PFALAG31,PCOS-M31,1,0,2.7900,14.645,102.8444,1293,
2007-05-01,PT,PFALAG31,PRODAO31,1,0,1.2443,6.4305,46.35555,955,
2007-05-01,PT,PFALAG31,PRODAO32,2,0,1.2443,6.4305,46.35555,955,
2007-05-01,PT,POLEIR31,PPEDRA31,1,0,2.3962,7.8210,54.17777,785,
2007-05-01,PT,POLEIR31,PPEDRA31,2,0,2.4053,7.8480,54.35555,785,
2007-05-01,PT,POLEIR31,PPEDRA31,3,0,1.1340,6.0525,67.37777,955,
2007-05-01,PT,PM.PED31,PPEGOE32,1,0,2.8440,9.8033,64.80000,735,
2007-05-01,PT,PSABOI31,PPORTI31,1,0,4.3223,14.118,98.22222,785,
2007-05-01,PT,PSABOI31,PLUZIA31,1,0,1.0553,3.2715,25.37777,674,
2007-05-01,PT,PSABOI31,PLUZIA31,2,8,1.0553,3.2715,25.37777,674,
2007-05-01,PT,PCANIC31,PPEDRA31,1,0,1.6402,5.3617,37.06666,785,
2007-05-01,PT,PCANIC31,PPEDRA31,2,0,1.6402,5.3617,37.06666,785,
2007-05-01,PT,PCANIC31,PPEDRA31,3,0,1.6470,6.3652,42.04444,785,
2007-05-01,PT,PCANIC31,PFRADE31,1,0,0.5850,6.1290,72.88888,785,
2007-05-01,PT,PCANIC31,PC.SAL31,1,0,0.8055,5.4158,40.00000,1001,
2007-05-01,PT,PCANIC31,PV.FUR31,1,0,0.9067,3.0825,19.55555,473,
