date,country,node,geoNode,status,nodeType,voltage,activeLoad,reactiveLoad,activePowerMW,reactivePowerMVar,minGenMW,maxGenMWminGenVar,maxGenVar,primCtrl%,nomPowerPrimCtrlMW,shortCircuitPowerMVar,XR_Ratio,plantType
2007-05-01,AT,O6MNGN21,Meiningen,0,2,240.87,64.4458,6.22065,-9.2500,0.00000,0.00000,-117.00,200.000,-200.00,,,,,
2007-05-01,AT,O6MNGN22,Meiningen,0,0,,64.4458,15.7629,-9.2500,0.00000,0.00000,-117.00,15.7629,0.00000,,,,,
2007-05-01,AT,O6WALG21,Walgauwerk,0,2,240.57,.000000,5.05500,0.00000,0.00000,0.00000,-86.000,200.000,-200.00,,,,,
2007-05-01,AT,O6WERB21,Werben,0,2,241.81,187.748,.000000,-9.2500,-34.145,0.00000,-183.00,200.000,-200.00,,,,,
2007-05-01,AT,O6WERB22,Werben,0,0,,.000000,.000000,-9.2500,-77.160,0.00000,-183.00,0.00000,-77.160,,,,,
2007-05-01,AT,O9KIRB21,Kirchbichl,0,0,,204.186,.000000,-67.620,-45.354,0.00000,-243.97,0.00000,-45.354,,,,,
2007-05-01,AT,O9PRUT21,Prutz,0,2,241.06,47.2069,42.6038,-30.400,0.00000,0.00000,-431.00,400.000,-400.00,,,,,
2007-05-01,AT,O9STRA21,Strass,0,0,,.000000,.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,
2007-05-01,AT,O9THAU21,Thaur,0,0,,40.3628,42.7537,-13.260,0.00000,0.00000,-136.91,42.7537,0.00000,,,,,
2007-05-01,AT,O9VILL21,Vill,0,2,241.19,76.4248,.000000,-15.760,-13.259,0.00000,-77.640,200.000,-200.00,,,,,
2007-05-01,AT,O9YVIL21,Y_Vill,0,0,,.000000,.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,
2007-05-01,AT,O9YVIL22,Y_Vill,0,0,,.000000,.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,
2007-05-01,AT,OABW  51,AbwindenAste,0,0,,16.8868,.000000,-80.364,0.00000,0.00000,-176.97,0.00000,0.00000,,,,,
2007-05-01,AT,OABW  52,AbwindenAste,0,0,,.000000,.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,
2007-05-01,AT,OAIGER51,Aigerding,0,0,,23.2974,.000000,-1.9774,0.00000,0.00000,-8.2876,0.00000,0.00000,,,,,
2007-05-01,AT,OALTEN21,Altenwoerth,0,0,,.000000,4.81487,-51.000,0.00000,0.00000,-333.00,4.81487,0.00000,,,,,
2007-05-01,AT,OALTEN22,Altenwoerth,0,0,,.000000,3.25983,-51.000,0.00000,0.00000,-333.00,3.25983,0.00000,,,,,
2007-05-01,AT,OALTEN23,Altenwoerth,0,0,,.000000,2.27636,-51.000,0.00000,0.00000,-333.00,2.27636,0.00000,,,,,
