date,country,node,geoNode,status,nodeType,voltage,activeLoad,reactiveLoad,activePowerMW,reactivePowerMVar,minGenMW,maxGenMWminGenVar,maxGenVar,primCtrl%,nomPowerPrimCtrlMW,shortCircuitPowerMVar,XR_Ratio,plantType
2007-05-01,CH,SAATHA21,220AATHAL__1,0,0,236.28,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAATHA22,220AATHAL__2,0,0,236.28,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAATHA2A,220AATHAL__A,1,0,236.28,63.037,-9.073,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAATHA2B,220AATHAL__B,1,0,236.28,65.747,-4.778,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAIROL21,220AIROLO__1,0,0,,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAIROL22,220AIROLO__2,0,0,234.04,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAIROL23,220AIROLO__3,0,0,234.04,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAIROL2A,220AIROLO__A,1,0,234.04,3.799,-2.88,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAIROL2B,220AIROLO__B,1,0,,0.0,0.0,0.0,0.0,0.0,-29.0,14.5,-14.5,,,,,H
2007-05-01,CH,SAIROL2C,220AIROLO__C,1,2,233.33,0.0,0.0,-20.0,14.5,0.0,-29.0,14.5,-14.5,,,,,H
2007-05-01,CH,SALTGA21,220ALTGASS_1,0,0,236.33,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SALTGA22,220ALTGASS_2,0,0,236.33,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SALTGA2A,220ALTGASS_A,1,0,236.33,64.602,-8.249,0.0,0.0,,,,,,,,,
2007-05-01,CH,SALTGA2B,220ALTGASS_B,1,0,236.33,22.869,-2.331,0.0,0.0,,,,,,,,,
2007-05-01,CH,SASPHA11,380ASPHARD_1,0,0,408.88,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SASPHA12,380ASPHARD_2,0,0,408.88,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SASPHA13,380ASPHARD_3,0,0,,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SASPHA1A,380ASPHARD_A,1,0,408.88,-14.563,11.586,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAUWIE21,220AUWIESEN1,0,0,236.36,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAUWIE22,220AUWIESEN2,0,0,236.36,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAUWIE2A,220AUWIESENA,1,0,236.36,77.669,0.668,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAUWIE2B,220AUWIESENB,1,0,,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAUWIE2C,220AUWIESENC,1,0,236.36,89.979,-23.457,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAVEGN21,220AVEGNO__1,0,0,234.26,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAVEGN22,220AVEGNO__2,0,0,234.26,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAVEGN23,220AVEGNO__3,0,0,234.26,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAVEGN24,220AVEGNO__4,0,0,234.26,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAVEGN25,220AVEGNO__5,0,0,234.26,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAVEGN26,220AVEGNO__6,0,0,234.26,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAVEGN2A,220AVEGNO__A,1,0,234.26,10.184,-8.166,0.0,0.0,,,,,,,,,
2007-05-01,CH,SAVEGN2B,220AVEGNO__B,1,0,,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SBAERE21,220BAERENBU1,0,0,233.30,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SBAERE22,220BAERENBU2,0,0,233.30,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SBAERE2A,220BAERENBUA,1,2,233.30,0.0,0.0,0.0,-8.188,0.0,-55.0,15.0,-16.0,,,,,H
2007-05-01,CH,SBAERE2B,220BAERENBUB,1,2,233.30,0.0,0.0,0.0,-8.188,0.0,-55.0,15.0,-16.0,,,,,H
2007-05-01,CH,SBAERE2C,220BAERENBUC,1,2,233.30,0.0,0.0,0.0,-8.188,0.0,-55.0,15.0,-16.0,,,,,H
2007-05-01,CH,SBAERE2D,220BAERENBUD,1,2,233.30,0.0,0.0,0.0,-8.188,0.0,-55.0,15.0,-16.0,,,,,H
2007-05-01,CH,SBANLI21,220BANLIEUE1,0,0,,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SBANLI22,220BANLIEUE2,0,0,237.29,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SBANLI2A,220BANLIEUE_,1,0,237.29,54.316,-40.999,0.0,0.0,,,,,,,,,
2007-05-01,CH,SBANLI2B,220BANLIEUE_,1,0,237.29,57.402,29.087,0.0,0.0,,,,,,,,,
2007-05-01,CH,SBASSE11,380BASSECOU1,0,0,409.69,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SBASSE12,380BASSECOU2,0,0,409.69,0.0,0.0,0.0,0.0,,,,,,,,,
2007-05-01,CH,SBASSE1A,380BASSECOUA,1,0,409.69,52.967,-12.908,0.0,0.0,,,,,,,,,
