date,country,node,geoNode,status,nodeType,voltage,activeLoad,reactiveLoad,activePowerMW,reactivePowerMVar,minGenMW,maxGenMWminGenVar,maxGenVar,primCtrl%,nomPowerPrimCtrlMW,shortCircuitPowerMVar,XR_Ratio,plantType
2007-05-01,IT,ICINR121,A.CINEC.FL,0,0,227.95,79.6,-27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAFKR121,A.FLAM.AL,0,0,228.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAFLR121,A.FLAMI.OS,0,0,228.68,93.0,-144.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IPDAR121,A.P.DANTE,0,0,227.64,29.4,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ISPAR121,A.S.PAOLO,0,0,227.60,42.1,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ITIBR121,A.TIBURTIN,0,0,227.64,43.4,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IABDR12Z,ABBADIA,0,0,220.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IABKR12Z,ABBADIA NK,0,0,220.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAVAV121,AC.BELT NK,0,0,234.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IABSV121,AC.BERTOLI,0,0,235.83,9.2,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IABSV12M,AC.BERTOLI,0,0,235.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IACBV121,AC.VALB.BZ,0,0,227.29,14.3,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAVBV121,AC.VALB.VI,0,0,234.08,37.3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAVEV121,AC.VEN.220,0,0,233.79,109.6,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAVRV121,AC.VERONA,0,0,236.55,26.2,-2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IABAV121,ACC. BZ NK,0,0,227.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IACIF111,ACCIAIOLO,0,0,407.41,165.3,53.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAEPT111,ACEA LEYNI,0,2,403.84,0.0,0.0,-24.0,89.1,-163.0,-391.0,203.1,-367.2,5.0,392.0,,,
2007-05-01,IT,ISOGN12Z,ACERRA ENE,0,0,220.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IACSN121,ACERRA SM,0,0,229.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IADSV111,ADRIA SUD,0,0,407.18,-16.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAQAV121,AIRL.VR NK,0,0,236.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IALQV121,AIRLIQ.VR,0,0,236.96,5.0,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IALAV121,ALA,0,2,236.28,0.0,0.0,-24.1,-5.1,-10.0,-50.0,32.0,-43.8,6.0,50.0,,,
2007-05-01,IT,IAVON12Z,ALFA A. UT,0,0,220.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAAVN121,ALFA AVIO,0,0,229.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IALIN111,ALIANO,0,0,399.19,-2.5,-58.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IALCN111,ALTOMON.CE,0,2,398.26,0.0,0.0,-208.6,-19.6,-152.0,-254.0,111.2,-240.7,4.0,253.7,,,
2007-05-01,IT,IALCN211,ALTOMON.CE,0,2,398.26,0.0,0.0,-208.6,-19.6,-152.0,-254.0,111.2,-240.7,4.0,253.7,,,
2007-05-01,IT,IALCN311,ALTOMON.CE,0,2,398.26,0.0,0.0,-234.8,-16.9,-83.0,-276.0,81.1,-218.6,5.0,276.5,,,
2007-05-01,IT,IALSN111,ALTOMONTE,0,0,398.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IANRN111,ANDRIA,0,0,393.04,25.2,72.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IASGR111,APRIL.SORG,0,2,395.22,0.0,0.0,-235.1,-44.1,-33.0,-531.0,208.3,-273.9,5.0,531.0,,,
2007-05-01,IT,IAPLR111,APRILIA380,0,0,395.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IARBT121,ARBARELLO,0,0,232.92,5.9,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAROVA21,ARCO,0,0,233.86,27.7,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IARNN121,ARENELLA,0,0,229.83,49.1,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IARCF121,AREZZO C,0,0,231.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IARCFA21,AREZZO C,0,0,231.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IISPM111,ARVEDI ST,0,0,409.46,467.8,-34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IASTN121,ASTRONI,0,0,230.02,23.3,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAURR21Z,AURELIA,0,0,400.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAURRA11,AURELIA,0,0,397.65,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IAUZV12Z,AURONZO,0,0,220.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
