date,country,node,geoNode,status,nodeType,voltage,activeLoad,reactiveLoad,activePowerMW,reactivePowerMVar,minGenMW,maxGenMWminGenVar,maxGenVar,primCtrl%,nomPowerPrimCtrlMW,shortCircuitPowerMVar,XR_Ratio,plantType
2007-05-01,NL,NWTR1531,WTR150,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NVAAR 3A,VAAR15,0,0,,6.49638,8.62255,0,0,,,,,,,,,
2007-05-01,NL,NHELD131,HELD15,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NSRBN 3A,SBRN15,0,0,,6.64137,-5.3192,0,0,,,,,,,,,
2007-05-01,NL,NTERW131,TERW15,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NBXT1532,BXT150,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NSNCM 3A,SNC150,0,0,,24.9855,46.0751,0,0,,,,,,,,,
2007-05-01,NL,NNRB153A,NRB150,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NSWB153A,SWB150,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NKNG153A,KNG150,0,0,,2.32402,0,0,0,,,,,,,,,
2007-05-01,NL,NWAP153A,WAP150,0,0,,-1.4700,0,0,0,,,,,,,,,
2007-05-01,NL,NSBRN132,SBRN15,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NAPL1531,APL150,0,0,,10.4810,0,0,0,,,,,,,,,
2007-05-01,NL,NVAAR 3B,VAAR15,0,0,,6.38978,-7.5982,0,0,,,,,,,,,
2007-05-01,NL,NHELD130,HELD15,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NSRBN 3B,SBRN15,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NTERW130,TERW15,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NNRB153B,NRB150,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NSWB153B,SWB150,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NSBRN13A,SBRN15,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NHELD132,HELD15,0,0,,-29.211,-3.6210,0,0,,,,,,,,,
2007-05-01,NL,NNRB153C,NRB150,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NSWB153C,SWB150,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NTERW132,TERW15,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NVENR131,VENR15,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NDKG3811,DKG380,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NDKG3810,DKG380,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NDKG3812,DKG380,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NTERW133,TERW15,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NVENR130,VENR15,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NBWK-512,Bleiswijk_38,0,0,,0,94.7111,0,0,,,,,,,,,
2007-05-01,NL,NBWK-511,Bleiswijk_38,0,0,,0,103.308,0,0,,,,,,,,,
2007-05-01,NL,NBWK-510,Bleiswijk_38,0,0,,0,103.376,0,0,,,,,,,,,
2007-05-01,NL,NEEM3812,EEM380,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NMVL3810,MVL380,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NMVL3813,MVL380,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NEEM3816,EEM380,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NEEM222I,EEM220,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NTERW134,TERW15,0,0,,30.9931,0.63164,0,0,,,,,,,,,
2007-05-01,NL,NVENR132,VENR15,0,0,,18.5922,5.23468,0,0,,,,,,,,,
2007-05-01,NL,NTERW135,TERW15,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NVENR133,VENR15,0,0,,0,0,0,0,,,,,,,,,
2007-05-01,NL,NMDC381A,MDC380,0,0,,0,0,0,0,,,,,,,,,
