date,country,node,geoNode,status,nodeType,voltage,activeLoad,reactiveLoad,activePowerMW,reactivePowerMVar,minGenMW,maxGenMWminGenVar,maxGenVar,primCtrl%,nomPowerPrimCtrlMW,shortCircuitPowerMVar,XR_Ratio,plantType
2007-05-01,PT,PZEZER31,ZEZERE,0,0,150.4,37.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PSETUB31,SETUBAL,0,0,150.2,100.5,34.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PF.ALE31,F.ALENTEJO,0,0,150.1,-18.6,11.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PP.ALT31,P.ALTO,0,0,150.4,-14.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PTUNES31,TUNES,0,0,148.7,105.3,28.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PF.FER31,F.FERRO,0,0,150.4,107.3,12.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPALME31,PALMELA,0,0,150.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PSINES31,SINES,0,0,150.2,42.6,6.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PVALDI31,VALDIGEM,0,0,149.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PSINES32,SINES,0,0,150.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PRIBAD31,RIBADAVE,0,0,150.7,106.2,89.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPALME32,PALMELA,0,0,150.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PV.FRI31,V.FRIA,0,0,144.9,110.7,47.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PEVORA31,EVORA,0,0,150.3,-11.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PTRAFA31,TRAFARIA,0,0,150.3,69.7,9.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PFAFE_31,FAFE,0,0,148.6,111.9,36.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,POURIQ31,OURIQUE,0,2,150.0,-7.3,0.8,-56.1,3.3,0.0,-87.5,39.4,-26.2,,,,,
2007-05-01,PT,PESTOI31,ESTOI,0,0,148.3,87.8,22.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PFALAG31,FALAGUEIRA,0,2,150.0,-2.9,8.7,-31.8,22.5,0.0,-50.0,22.5,-15.0,,,,,
2007-05-01,PT,POLEIR31,OLEIROS,0,0,146.5,189.3,55.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PERMID31,ERMIDAS,0,0,150.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
