date,country,node1,node2,orderCode,tapPos,resistR,reactX,deltaUtapN,phaseShiftAngle
2007-05-01,NL,NULW153A,NULW1531,1,-10,0.0523,5.2997,3.153,-14.2
2007-05-01,NL,NULW153A,NULW1531,1,-9,0.0472,4.9106,2.560,-12.8
2007-05-01,NL,NULW153A,NULW1531,1,-8,0.0424,4.5490,2.027,-11.4
2007-05-01,NL,NULW153A,NULW1531,1,-7,0.0378,4.2150,1.553,-10.0
2007-05-01,NL,NULW153A,NULW1531,1,-6,0.0334,3.9087,1.147,-8.63
2007-05-01,NL,NULW153A,NULW1531,1,-5,0.0293,3.6299,0.800,-7.21
2007-05-01,NL,NULW153A,NULW1531,1,-4,0.0254,3.3787,0.513,-5.78
2007-05-01,NL,NULW153A,NULW1531,1,-3,0.0218,3.1551,0.287,-4.34
2007-05-01,NL,NULW153A,NULW1531,1,-2,0.0184,2.9591,0.127,-2.90
2007-05-01,NL,NULW153A,NULW1531,1,-1,0.0095,2.5368,0.033,-1.45
2007-05-01,NL,NULW153A,NULW1531,1,0,0.0122,2.6500,0,0
2007-05-01,NL,NULW153A,NULW1531,1,1,0.0154,2.7728,0.033,1.450
2007-05-01,NL,NULW153A,NULW1531,1,2,0.0187,2.9271,0.127,2.900
2007-05-01,NL,NULW153A,NULW1531,1,3,0.0222,3.1131,0.287,4.340
2007-05-01,NL,NULW153A,NULW1531,1,4,0.0260,3.3307,0.513,5.780
2007-05-01,NL,NULW153A,NULW1531,1,5,0.0299,3.5799,0.800,7.210
2007-05-01,NL,NULW153A,NULW1531,1,6,0.0340,3.8607,1.147,8.630
2007-05-01,NL,NULW153A,NULW1531,1,7,0.0383,4.1730,1.553,10.04
2007-05-01,NL,NULW153A,NULW1531,1,8,0.0427,4.5170,2.027,11.44
2007-05-01,NL,NULW153A,NULW1531,1,9,0.0474,4.8926,2.560,12.83
2007-05-01,NL,NULW153A,NULW1531,1,10,0.0523,5.2997,3.153,14.20
2007-05-01,NL,NULW153C,NULW1530,1,-10,0.0523,5.2997,3.153,-14.2
2007-05-01,NL,NULW153C,NULW1530,1,-9,0.0472,4.9106,2.560,-12.8
2007-05-01,NL,NULW153C,NULW1530,1,-8,0.0424,4.5490,2.027,-11.4
2007-05-01,NL,NULW153C,NULW1530,1,-7,0.0378,4.2150,1.553,-10.0
2007-05-01,NL,NULW153C,NULW1530,1,-6,0.0334,3.9087,1.147,-8.63
2007-05-01,NL,NULW153C,NULW1530,1,-5,0.0293,3.6299,0.800,-7.21
2007-05-01,NL,NULW153C,NULW1530,1,-4,0.0254,3.3787,0.513,-5.78
2007-05-01,NL,NULW153C,NULW1530,1,-3,0.0218,3.1551,0.287,-4.34
2007-05-01,NL,NULW153C,NULW1530,1,-2,0.0184,2.9591,0.127,-2.90
2007-05-01,NL,NULW153C,NULW1530,1,-1,0.0095,2.5368,0.033,-1.45
2007-05-01,NL,NULW153C,NULW1530,1,0,0.0122,2.6500,0,0
2007-05-01,NL,NULW153C,NULW1530,1,1,0.0154,2.7728,0.033,1.450
2007-05-01,NL,NULW153C,NULW1530,1,2,0.0187,2.9271,0.127,2.900
2007-05-01,NL,NULW153C,NULW1530,1,3,0.0222,3.1131,0.287,4.340
2007-05-01,NL,NULW153C,NULW1530,1,4,0.0260,3.3307,0.513,5.780
2007-05-01,NL,NULW153C,NULW1530,1,5,0.0299,3.5799,0.800,7.210
2007-05-01,NL,NULW153C,NULW1530,1,6,0.0340,3.8607,1.147,8.630
2007-05-01,NL,NULW153C,NULW1530,1,7,0.0383,4.1730,1.553,10.04
2007-05-01,NL,NULW153C,NULW1530,1,8,0.0427,4.5170,2.027,11.44
2007-05-01,NL,NULW153C,NULW1530,1,9,0.0474,4.8926,2.560,12.83
2007-05-01,NL,NULW153C,NULW1530,1,10,0.0523,5.2997,3.153,14.20
2007-05-01,NL,NMEE3811,NMEE381B,A,-16,0.2863,16.228,-72.8,-40.0
2007-05-01,NL,NMEE3811,NMEE381B,A,-15,0.2723,15.737,-68.7,-37.9
2007-05-01,NL,NMEE3811,NMEE381B,A,-14,0.2595,15.044,-63.6,-35.3
2007-05-01,NL,NMEE3811,NMEE381B,A,-13,0.2463,14.568,-59.2,-33.0
2007-05-01,NL,NMEE3811,NMEE381B,A,-12,0.2345,13.962,-54.5,-30.5
2007-05-01,NL,NMEE3811,NMEE381B,A,-11,0.2225,13.485,-49.7,-27.9
2007-05-01,NL,NMEE3811,NMEE381B,A,-10,0.2107,13.023,-45.4,-25.6
2007-05-01,NL,NMEE3811,NMEE381B,A,-9,0.2013,12.662,-40.9,-23.1
2007-05-01,NL,NMEE3811,NMEE381B,A,-8,0.1905,12.186,-36.0,-20.4
2007-05-01,NL,NMEE3811,NMEE381B,A,-7,0.1811,11.681,-31.1,-17.7
2007-05-01,NL,NMEE3811,NMEE381B,A,-6,0.1733,11.276,-27.0,-15.4
2007-05-01,NL,NMEE3811,NMEE381B,A,-5,0.1646,11.002,-23.5,-13.4
2007-05-01,NL,NMEE3811,NMEE381B,A,-4,0.2000,10.626,-18.4,-10.5
2007-05-01,NL,NMEE3811,NMEE381B,A,-3,0.1519,10.425,-14.3,-8.20
2007-05-01,NL,NMEE3811,NMEE381B,A,-2,0.1454,10.208,-9.78,-5.60
2007-05-01,NL,NMEE3811,NMEE381B,A,-1,0.1418,10.093,-4.71,-2.70
2007-05-01,NL,NMEE3811,NMEE381B,A,0,0.1295,10.006,-0.70,-0.40
2007-05-01,NL,NMEE3811,NMEE381B,A,1,0.1422,10.064,4.364,2.500
2007-05-01,NL,NMEE3811,NMEE381B,A,2,0.1458,10.136,8.907,5.100
2007-05-01,NL,NMEE3811,NMEE381B,A,3,0.1526,10.266,13.46,7.700
