date,country,node1,node2,orderCode,phRegulU,phRegulN,phRegulNprime,U,angleRegulU,angleRegulD,angleRegulN,angleRegulNprime,angleRegulP,type
2007-05-01,AT,OBISAM51,OBISAM11,2,,,,,1.468,60.00,13,0,,
2007-05-01,AT,OBISAM52,OBISAM11,1,,,,,1.411,60.00,13,0,,
2007-05-01,AT,OBISAM52,OBISAM12,3,,,,,1.476,60.00,13,0,,
2007-05-01,AT,OBISAM52,OBISAM12,4,,,,,1.468,60.00,13,0,,
2007-05-01,AT,OBISAM54,OBISAM21,1,,,,,1.833,-120.,12,0,,
2007-05-01,AT,OBISAM55,OBISAM21,2,,,,,1.833,-120.,12,0,,
2007-05-01,AT,OBISAM56,OBISAM21,3,,,,,1.833,-120.,12,0,,
2007-05-01,AT,OBISAM56,OBISAM21,4,,,,,1.833,-120.,12,0,,
2007-05-01,AT,ODUERN21,ODUERN11,1,,,,,1.253,60.00,13,-2,,
2007-05-01,AT,ODUERN21,ODUERN11,2,,,,,1.253,60.00,13,-2,,
2007-05-01,AT,ODUERN51,ODUERN21,1,,,,,1.830,-120.,12,-3,,
2007-05-01,AT,ODUERN51,ODUERN22,2,,,,,1.760,-120.,12,-3,,
2007-05-01,AT,OERNST21,OERNST11,1,,,,,1.253,60.00,13,-2,,
2007-05-01,AT,OERNST21,OERNST11,2,,,,,1.253,60.00,13,-2,,
2007-05-01,AT,OERNST21,OERNST22,2,,,,,2.252,90.00,28,0,,SYMM
2007-05-01,AT,OERNST51,OERNST21,3,1.833,12,0,,,,,,,
2007-05-01,AT,OERNST51,OERNST21,4,1.833,12,0,,,,,,,
2007-05-01,AT,OERNST52,OERNST21,1,1.833,12,0,,,,,,,
2007-05-01,AT,OERNST52,OERNST21,5,1.833,12,0,,,,,,,
2007-05-01,AT,OERNST53,OERNST21,2,1.833,12,0,,,,,,,
2007-05-01,AT,OGREUT42,OGREUT21,1,,,,,1.200,180.0,48,-5,,
2007-05-01,AT,OGREUT42,OGREUT41,1,,,,,4.117,90.00,17,0,,ASYM
2007-05-01,AT,OHAUSR51,OHAUSR21,1,,,,,1.833,180.0,12,0,,
2007-05-01,AT,OHAUSR51,OHAUSR21,3,,,,,1.833,180.0,12,0,,
2007-05-01,AT,OHAUSR51,OHAUSR22,2,,,,,1.833,180.0,12,0,,
2007-05-01,AT,OHAUSR51,OHAUSR59,1,,,,,1.833,180.0,12,0,,
2007-05-01,AT,OHAUSR59,OHAUSR22,4,,,,,1.814,-90.0,8,0,,ASYM
2007-05-01,AT,OJOCHE59,OJOCHE21,1,1.742,12,0,,,,,,,
2007-05-01,AT,OJOCHE59,OJOCHE51,1,,,,,3.060,90.00,8,0,,ASYM
2007-05-01,AT,OKENDL51,OKENDL11,1,1.422,13,0,,,,,,,
2007-05-01,AT,OKENDL51,OKENDL11,3,1.422,13,0,,,,,,,
2007-05-01,AT,OKENDL52,OKENDL11,2,1.422,13,0,,,,,,,
2007-05-01,AT,OLIENN21,OLIENN11,1,,,,,1.253,60.00,13,0,,
2007-05-01,AT,OLIENN21,OLIENN11,2,,,,,1.253,60.00,13,0,,
2007-05-01,AT,OLIENN21,OLIENN11,3,,,,,1.253,60.00,13,0,,
2007-05-01,AT,OLIENN21,OLIENN22,2,,,,,3.616,90.00,32,0,,SYMM
2007-05-01,AT,OLIENN51,OLIENN21,1,,,,,1.833,-120.,12,-6,,
2007-05-01,AT,OLIENN52,OLIENN21,2,,,,,1.833,-120.,12,0,,
2007-05-01,AT,OMALTA51,OMALTA21,1,,,,,1.833,-120.,12,0,,
2007-05-01,AT,OMALTA51,OMALTA22,2,,,,,1.833,-120.,12,0,,
2007-05-01,AT,ONEUSI51,ONEUSI21,1,,,,,1.690,60.00,12,0,,
2007-05-01,AT,ONEUSI51,ONEUSI21,2,,,,,1.690,60.00,12,0,,
2007-05-01,AT,OOBERS21,OOBERS11,1,,,,,1.253,60.00,13,0,,
2007-05-01,AT,OOBERS21,OOBERS11,3,,,,,1.253,60.00,13,0,,
2007-05-01,AT,OOBERS21,OOBERS12,2,,,,,1.253,60.00,13,0,,
2007-05-01,AT,OOBERS51,OOBERS21,2,,,,,1.833,-120.,12,0,,
2007-05-01,AT,OOBERS51,OOBERS21,3,,,,,1.833,-120.,12,0,,
2007-05-01,AT,OOBERS52,OOBERS21,1,,,,,1.833,-120.,12,0,,
2007-05-01,AT,OPETER21,OPETER11,1,,,,,1.253,60.00,13,-2,,
2007-05-01,AT,OPETER21,OPETER11,2,,,,,1.253,60.00,13,-2,,
2007-05-01,AT,OPETER21,OPETER11,3,,,,,1.253,60.00,13,-2,,
2007-05-01,AT,OPETER51,OPETER21,1,1.833,12,0,,,,,,,
2007-05-01,AT,OPETER52,OPETER21,2,1.833,12,0,,,,,,,
2007-05-01,AT,OPETER52,OPETER21,3,1.833,12,0,,,,,,,
2007-05-01,AT,OPOTTE59,OPOTTE11,1,,,,,1.153,180.0,12,-4,,
2007-05-01,AT,OPOTTE59,OPOTTE52,1,,,,,2.407,-90.0,12,0,,ASYM
2007-05-01,AT,OSARA 51,OSARA 12,1,,,,,1.411,60.00,13,0,,
2007-05-01,AT,OSARA 52,OSARA 11,2,1.403,13,0,,,,,,,
2007-05-01,AT,OSIMME51,OSIMME12,1,1.420,13,0,,,,,,,
2007-05-01,AT,OSIMME52,OSIMME12,4,,,,,1.420,-120.,13,0,,
2007-05-01,AT,OSIMME53,OSIMME12,3,1.420,13,0,,,,,,,
2007-05-01,AT,OSIMME55,OSIMME12,2,1.420,13,0,,,,,,,
2007-05-01,AT,OSUEDB51,OSUEDB11,1,,,,,1.420,60.00,13,0,,
2007-05-01,AT,OSUEDB51,OSUEDB11,2,,,,,1.420,60.00,13,0,,
2007-05-01,AT,OTAUER21,OTAUER11,1,,,,,1.253,60.00,13,0,,
2007-05-01,AT,OTAUER21,OTAUER11,3,,,,,1.253,60.00,13,0,,
2007-05-01,AT,OTAUER21,OTAUER12,2,,,,,1.253,60.00,13,0,,
2007-05-01,AT,OTAUER22,OTAUER21,2,,,,,2.252,90.00,28,0,,SYMM
2007-05-01,AT,OTERNI21,OTERNI22,2,,,,,2.252,90.00,28,0,,SYMM
2007-05-01,AT,OTERNI51,OTERNI21,1,,,,,1.833,-120.,12,0,,
2007-05-01,AT,OTERNI51,OTERNI21,3,,,,,1.833,-120.,12,0,,
2007-05-01,AT,OTERNI52,OTERNI21,2,,,,,1.833,-120.,12,0,,
