date,country,node1,node2,orderCode,phRegulU,phRegulN,phRegulNprime,U,angleRegulU,angleRegulD,angleRegulN,angleRegulNprime,angleRegulP,type
2007-05-01,BE,BAMERC3V,BAMERC3C,1,,,,,,,,,,
2007-05-01,BE,BAMERC3W,BAMERC31,1,,,,,,,,,,
2007-05-01,BE,BANDUM1R,BANDUM33,2,0.917,12,-4,,,,,,,
2007-05-01,BE,BANTOI30,BANTOI31,1,-1.50,10,-3,,,,,,,
2007-05-01,BE,BAUBAN23,BAUBAN22,3,,,,,3.340,90.00,16,5,,SYMM
2007-05-01,BE,BAUBAN11,BAUBAN22,2,0.862,13,-3,,,,,,,
2007-05-01,BE,BAVLGM11,BAVLGM31,1,1.011,12,-7,,,,,,,
2007-05-01,BE,BAVLGM12,BAVLGM32,2,1.002,12,-7,,,,,,,
2007-05-01,BE,BAWIRS21,BAWIRS31,7,0.708,14,5,,,,,,,
2007-05-01,BE,BBASF 3W,BBASF 32,1,,,,,,,,,,
2007-05-01,BE,BBAUDO31,BBAUDO3W,1,1.581,10,0,,,,,,,
2007-05-01,BE,BBRUEG1A,BBRUEG3B,1,0.917,12,-7,,,,,,,
2007-05-01,BE,BBRUEG1S,BBRUEG12,2,,,,,,,,,,
2007-05-01,BE,BBRUEG1S,BBRUEG32,2,0.917,12,-11,,,,,,,
2007-05-01,BE,BBRUEG1S,BBRUEG11,2,,,,,,,,,,
2007-05-01,BE,BBRUME11,BBRUME21,1,0.865,13,-10,,,,,,,
2007-05-01,BE,BBVERW31,BBVERW3A,1,-1.50,10,-4,,,,,,,
2007-05-01,BE,BBVREN30,BBVREN31,1,-1.40,10,-3,,,,,,,
2007-05-01,BE,BCHIEV31,BCHIEV32,D,,,,,2.633,90.00,10,0,,SYMM
2007-05-01,BE,BCKNIP31,BCKNIP3W,1,1.580,10,0,,,,,,,
2007-05-01,BE,BCMARE31,BCMARE3W,1,1.578,10,0,,,,,,,
2007-05-01,BE,BCOO  11,BCOO  1R,1,1.580,10,-3,,,,,,,
2007-05-01,BE,BCOO  11,BCOO  1S,1,1.580,10,-3,,,,,,,
2007-05-01,BE,BCOO  11,BCOO  1T,1,1.580,10,-3,,,,,,,
2007-05-01,BE,BCOO  1U,BCOO  12,1,,,,,,,,,,
2007-05-01,BE,BCOO  1V,BCOO  12,1,,,,,,,,,,
2007-05-01,BE,BCOO  1W,BCOO  12,1,,,,,,,,,,
2007-05-01,BE,BCOURC11,BCOURC3R,1,0.917,12,-8,,,,,,,
2007-05-01,BE,BCZWIJ31,BCZWIJ3U,1,1.581,10,-1,,,,,,,
2007-05-01,BE,BCZWIJ32,BCZWIJ3V,1,1.582,10,-1,,,,,,,
2007-05-01,BE,BCZWIJ31,BCZWIJ3W,1,1.581,10,0,,,,,,,
2007-05-01,BE,BDOEL 1A,BDOEL 32,5,1.000,12,-7,,,,,,,
2007-05-01,BE,BDOEL 1T,BDOEL 11,1,,,,,,,,,,
2007-05-01,BE,BDOEL 1U,BDOEL 12,1,,,,,,,,,,
2007-05-01,BE,BDROGE31,BDROGE3U,1,1.581,10,0,,,,,,,
2007-05-01,BE,BDROGE33,BDROGE3V,1,1.581,10,0,,,,,,,
2007-05-01,BE,BDROGE3W,BDROGE31,1,,,,,,,,,,
2007-05-01,BE,BDROGE11,BDROGE33,4,1.014,12,-11,,,,,,,
2007-05-01,BE,BEEKLN11,BEEKLN32,1,1.008,12,-5,,,,,,,
2007-05-01,BE,BESSO 3K,BESSO 3W,1,1.581,10,0,,,,,,,
2007-05-01,BE,BFARCI31,BFARCI3R,1,-1.50,10,-4,,,,,,,
2007-05-01,BE,BGOUY 11,BGOUY 31,3,1.007,12,-5,,,,,,,
2007-05-01,BE,BGOUY 12,BGOUY 32,4,1.008,12,-5,,,,,,,
2007-05-01,BE,BGRAMM1C,BGRAMM3B,1,1.093,12,-5,,,,,,,
2007-05-01,BE,BHBRUG3U,BHBRUG31,1,,,,,,,,,,
2007-05-01,BE,BHBRUG3V,BHBRUG32,1,,,,,,,,,,
2007-05-01,BE,BHBRUG3W,BHBRUG33,1,,,,,,,,,,
2007-05-01,BE,BHDPE 31,BHDPE 3A,1,-1.40,10,0,,,,,,,
2007-05-01,BE,BHELIA31,BHELIA3R,1,-1.50,10,-3,,,,,,,
2007-05-01,BE,BHERCU31,BHERCU3R,1,-1.50,10,-4,,,,,,,
2007-05-01,BE,BIZGEM1R,BIZGEM31,1,1.014,12,-7,,,,,,,
2007-05-01,BE,BIZGEM12,BIZGEM32,2,1.008,12,-7,,,,,,,
2007-05-01,BE,BJUPIL22,BJUPIL32,1,-2.00,10,4,,,,,,,
2007-05-01,BE,BJUPIL21,BJUPIL3R,7,2.000,6,-1,,,,,,,
2007-05-01,BE,BKALLO15,BKALLO31,5,0.917,12,0,,,,,,,
2007-05-01,BE,BKETEN30,BKETEN31,1,-1.50,10,-5,,,,,,,
2007-05-01,BE,BKOKSI30,BKOKSI3A,1,-1.50,10,-3,,,,,,,
2007-05-01,BE,BLANAK3W,BLANAK31,1,-1.50,10,-4,,,,,,,
2007-05-01,BE,BLANAK3W,BLANAK31,2,-1.50,10,-4,,,,,,,
2007-05-01,BE,BLATOU20,BLATOU21,1,-1.50,10,-4,,,,,,,
2007-05-01,BE,BLATRO20,BLATRO22,1,1.580,10,1,,,,,,,
2007-05-01,BE,BLEVAL2U,BLEVAL21,1,,,,,,,,,,
2007-05-01,BE,BLEVAL2V,BLEVAL22,1,,,,,,,,,,
2007-05-01,BE,BLEVAL2W,BLEVAL22,1,,,,,,,,,,
2007-05-01,BE,BLIGNE31,BLIGNE32,1,-1.50,10,-4,,,,,,,
2007-05-01,BE,BLILLO11,BLILLO33,5,0.917,12,-7,,,,,,,
2007-05-01,BE,BLILLO12,BLILLO35,6,0.917,12,0,,,,,,,
2007-05-01,BE,BLINTT1R,BLINT 31,1,1.008,12,-6,,,,,,,
2007-05-01,BE,BLINTT12,BLINT 32,2,1.008,12,-9,,,,,,,
