date,country,node1,node2,orderCode,phRegulU,phRegulN,phRegulNprime,U,angleRegulU,angleRegulD,angleRegulN,angleRegulNprime,angleRegulP,type
2007-05-01,CH,SBASSE2T,SBASSE12,1,-0.72,16,-6,,,,,,,
2007-05-01,CH,SBASSE2T,SBASSE21,1,,,,,1.078,90.0,16,-2,,ASYM
2007-05-01,CH,SBASSE2T,SBASSE61,1,,,,,,,,,,
2007-05-01,CH,SBATIA71,SBATIA11,1,,,,,,,,,,
2007-05-01,CH,SBATIA71,SBATIA22,1,,,,,,,,,,
2007-05-01,CH,SBATIA72,SBATIA13,2,,,,,,,,,,
2007-05-01,CH,SBATIA72,SBATIA22,2,,,,,,,,,,
2007-05-01,CH,SBENKE2T,SBENKE12,1,0.005,11,0,,,,,,,
2007-05-01,CH,SBENKE2T,SBENKE21,1,,,,,1.457,60.0,11,-6,,ASYM
2007-05-01,CH,SBENKE2T,SBENKE61,1,,,,,,,,,,
2007-05-01,CH,SBEZNA2T,SBEZNA12,1,-1.2,12,-1,,,,,,,
2007-05-01,CH,SBEZNA2T,SBEZNA21,1,,,,,1.359,90.0,17,1,,ASYM
2007-05-01,CH,SBEZNA2T,SBEZNA71,1,,,,,,,,,,
2007-05-01,CH,SBICKI1T,SBICKI11,1,,,,,,,,,,
2007-05-01,CH,SBICKI1T,SBICKI22,1,,,,,-0.87,60.0,17,11,,ASYM
2007-05-01,CH,SBICKI1T,SBICKI61,1,,,,,,,,,,
2007-05-01,CH,SBICKI1U,SBICKI11,2,,,,,,,,,,
2007-05-01,CH,SBICKI1U,SBICKI22,2,,,,,-0.87,60.0,17,5,,ASYM
2007-05-01,CH,SBICKI1U,SBICKI62,2,,,,,,,,,,
2007-05-01,CH,SBREIT1T,SBREIT11,1,,,,,,,,,,
2007-05-01,CH,SBREIT1T,SBREIT22,1,0.976,15,-9,,,,,,,
2007-05-01,CH,SBREIT1T,SBREIT71,1,,,,,,,,,,
2007-05-01,CH,SCAVER71,SCAVER21,1,,,,,,,,,,
2007-05-01,CH,SCAVER72,SCAVER21,2,,,,,,,,,,
2007-05-01,CH,SCHAMO1T,SCHAMO16,1,,,,,,,,,,
2007-05-01,CH,SCHAMO1T,SCHAMO2G,1,,,,,1.459,60.0,17,-8,,ASYM
2007-05-01,CH,SCHAMO1T,SCHAMO71,1,,,,,,,,,,
2007-05-01,CH,SCHATE2T,SCHATE16,1,-0.82,12,0,,,,,,,
2007-05-01,CH,SCHATE2T,SCHATE22,1,,,,,-1.26,90.0,14,4,,ASYM
2007-05-01,CH,SCHATE2T,SCHATE71,1,,,,,,,,,,
2007-05-01,CH,SCHIPP2T,SCHIPP11,1,-1.24,12,0,,,,,,,
2007-05-01,CH,SCHIPP2T,SCHIPP21,1,,,,,1.064,90.0,16,-1,,ASYM
2007-05-01,CH,SCHIPP2T,SCHIPP71,1,,,,,,,,,,
2007-05-01,CH,SGOESG2T,SGOESG11,1,0.005,11,0,,,,,,,
2007-05-01,CH,SGOESG2T,SGOESG24,1,,,,,1.457,60.0,11,-7,,ASYM
2007-05-01,CH,SGOESG2T,SGOESG71,1,,,,,,,,,,
2007-05-01,CH,SGONDO21,SGONDO71,1,-4.17,2,0,,,,,,,
2007-05-01,CH,SHAND171,SHANDE21,1,,,,,,,,,,
2007-05-01,CH,SHAND172,SHANDE22,2,,,,,,,,,,
2007-05-01,CH,SHAND271,SHANDE21,3,,,,,,,,,,
2007-05-01,CH,SHAND272,SHANDE22,4,,,,,,,,,,
2007-05-01,CH,SHAND273,SHANDE22,5,,,,,,,,,,
2007-05-01,CH,SHAND274,SHANDE21,6,,,,,,,,,,
2007-05-01,CH,SINNER2T,SINNER21,1,,,,,,,,,,
2007-05-01,CH,SINNER2T,SINNER34,1,2.065,11,-1,,,,,,,
2007-05-01,CH,SINNER2T,SINNER61,1,,,,,,,,,,
2007-05-01,CH,SINNER2U,SINNER23,2,,,,,,,,,,
2007-05-01,CH,SINNER2U,SINNER36,2,1.951,11,-4,,,,,,,
2007-05-01,CH,SINNER2U,SINNER71,2,,,,,,,,,,
2007-05-01,CH,SLAUFE2T,SLAUFE12,1,-1.2,12,-2,,,,,,,
2007-05-01,CH,SLAUFE2T,SLAUFE21,1,,,,,1.056,90.0,16,1,,ASYM
2007-05-01,CH,SLAUFE2T,SLAUFE71,1,,,,,,,,,,
2007-05-01,CH,SLAVOR2T,SLAVOR13,1,-1.2,12,-3,,,,,,,
2007-05-01,CH,SLAVOR2T,SLAVOR22,1,,,,,1.408,90.0,12,-1,,ASYM
2007-05-01,CH,SLAVOR2T,SLAVOR71,1,,,,,,,,,,
2007-05-01,CH,SMANNO31,SMANNO21,1,-0.98,10,-2,,,,,,,
2007-05-01,CH,SMANNO32,SMANNO21,2,-0.97,10,-2,,,,,,,
2007-05-01,CH,SMAPRA71,SMAPRT71,1,,,,,,,,,,
2007-05-01,CH,SMAPRA72,SMAPRT71,2,,,,,,,,,,
2007-05-01,CH,SMAPRA73,SMAPRT71,3,,,,,,,,,,
2007-05-01,CH,SMAPRT71,SMAPRA11,1,,,,,,,,,,
2007-05-01,CH,SMENDR3T,SMENDR11,1,-1.35,9,-6,,,,,,,
2007-05-01,CH,SMENDR3T,SMENDR32,1,,,,,-2.61,90.0,17,1,-31.0,ASYM
2007-05-01,CH,SMENDR3T,SMENDR71,1,,,,,,,,,,
2007-05-01,CH,SMETTL1T,SMETTL12,1,,,,,,,,,,
2007-05-01,CH,SMETTL1T,SMETTL22,1,,,,,1.454,60.0,11,-8,,ASYM
2007-05-01,CH,SMETTL1T,SMETTL61,1,,,,,,,,,,
2007-05-01,CH,SMUEHB2T,SMUEHB11,1,-1.18,12,0,,,,,,,
2007-05-01,CH,SMUEHB2T,SMUEHB22,1,,,,,-1.06,90.0,16,0,,ASYM
2007-05-01,CH,SMUEHB2T,SMUEHB71,1,,,,,,,,,,
2007-05-01,CH,SNDDRA71,SNDDRA12,1,,,,,,,,,,
2007-05-01,CH,SNDDRA72,SNDDRA12,2,,,,,,,,,,
2007-05-01,CH,SNDDRA73,SNDDRA12,3,,,,,,,,,,
2007-05-01,CH,SNDDRA74,SNDDRA11,4,,,,,,,,,,
2007-05-01,CH,SNDDRA75,SNDDRA11,5,,,,,,,,,,
2007-05-01,CH,SNDDRA76,SNDDRA11,6,,,,,,,,,,
2007-05-01,CH,SPECCI71,SPECCI21,1,,,,,,,,,,
2007-05-01,CH,SPRADE1A,SPRADE51,1,0.78,11,11,,,,,,,
