date,country,node1,node2,orderCode,phRegulU,phRegulN,phRegulNprime,U,angleRegulU,angleRegulD,angleRegulN,angleRegulNprime,angleRegulP,type
2007-05-01,IT,IBAGM111,IBAGM122,1,,,,,,,,,,
2007-05-01,IT,IBAGM111,IBAGM121,2,,,,,,,,,,
2007-05-01,IT,IBSAN111,IBSAN11Z,1,,,,,0.953,90,32,32,0.,SYMM
2007-05-01,IT,IBRINA11,IBRINA2Z,1,,,,,,,,,,
2007-05-01,IT,IBRUM111,IBRUM121,1,,,,,,,,,,
2007-05-01,IT,IBRUM111,IBRUM122,2,,,,,,,,,,
2007-05-01,IT,ICALF111,ICALF121,1,,,,,,,,,,
2007-05-01,IT,ICAMV111,ICAMV121,1,,,,,,,,,,
2007-05-01,IT,ICMPTA21,ICMPTA22,1,,,,,2.875,90,32,-6,225.4,SYMM
2007-05-01,IT,ICANR111,ICANR12Z,1,,,,,,,,,,
2007-05-01,IT,ICANRA11,ICANRA2Z,1,,,,,,,,,,
2007-05-01,IT,ICSNT111,ICSNT121,1,,,,,,,,,,
2007-05-01,IT,ICSSM311,ICSSM221,1,,,,,,,,,,
2007-05-01,IT,ICEPR121,ICEPR111,1,1.122,12,2,,,,,,,
2007-05-01,IT,ICEPR22Z,ICEPR211,1,0.934,12,12,,,,,,,
2007-05-01,IT,ICISM111,ICISMB21,1,,,,,,,,,,
2007-05-01,IT,ICOLFA11,ICOLFA21,1,,,,,,,,,,
2007-05-01,IT,IDOLV111,IDOLV121,1,,,,,,,,,,
2007-05-01,IT,IDUSV111,IDUSV121,1,,,,,,,,,,
2007-05-01,IT,IFGPN111,IFGPN113,1,,,,,0.953,90,32,8,-830.,SYMM
2007-05-01,IT,IFGPN113,IFGPN112,2,,,,,0.953,90,32,8,-830.,SYMM
2007-05-01,IT,IKOTR121,IKOTR111,1,0.884,12,11,,,,,,,
2007-05-01,IT,IKOTR22Z,IKOTR211,1,0.934,12,12,,,,,,,
2007-05-01,IT,ILAIN111,ILAIN12Z,1,,,,,,,,,,
2007-05-01,IT,ILATR211,ILATR121,1,,,,,,,,,,
2007-05-01,IT,ILATR311,ILATR221,1,,,,,,,,,,
2007-05-01,IT,ILEYTA11,ILEYTA21,1,,,,,,,,,,
2007-05-01,IT,IMCON111,IMCON121,1,,,,,,,,,,
2007-05-01,IT,IMCON111,IMCON121,2,,,,,,,,,,
2007-05-01,IT,INAVM111,INAVM121,1,,,,,,,,,,
2007-05-01,IT,IOSPM111,IOSPM121,1,,,,,,,,,,
2007-05-01,IT,IPDRV121,IPDRV12Z,1,,,,,3.756,90,16,-14,0.,SYMM
2007-05-01,IT,IPATN111,IPATN121,1,,,,,,,,,,
2007-05-01,IT,IPATN111,IPATN121,2,,,,,,,,,,
2007-05-01,IT,IPATN111,IPATN121,3,,,,,,,,,,
2007-05-01,IT,IPIOTA11,IPIOTA21,1,,,,,,,,,,
2007-05-01,IT,IRDPVA11,IRDPVA21,1,,,,,,,,,,
2007-05-01,IT,IRDPVA11,IRDPVA2M,2,,,,,,,,,,
2007-05-01,IT,IRMNR111,IRMNR121,1,,,,,,,,,,
2007-05-01,IT,IRMNR111,IRMNR121,2,,,,,,,,,,
2007-05-01,IT,IRMSR111,IRMSR121,1,,,,,,,,,,
2007-05-01,IT,IRMSR111,IRMSR121,2,,,,,,,,,,
2007-05-01,IT,IRONT111,IRONT121,1,,,,,,,,,,
2007-05-01,IT,IRONT113,IRONT111,1,,,,,0.727,90,33,33,-797.,ASYM
2007-05-01,IT,IRONT112,IRONT111,2,,,,,0.727,90,33,33,-798.,ASYM
2007-05-01,IT,ISBSFA12,ISBSFA21,1,,,,,,,,,,
2007-05-01,IT,ISGSR111,ISGSR121,1,,,,,,,,,,
2007-05-01,IT,ISLUR111,ISLUR121,1,,,,,,,,,,
2007-05-01,IT,ISMRNA11,ISMRN121,1,,,,,,,,,,
2007-05-01,IT,ISMRNA11,ISMRN121,2,,,,,,,,,,
2007-05-01,IT,ISSONA11,ISSONA21,1,,,,,,,,,,
2007-05-01,IT,ISSONA11,ISSONB21,1,,,,,,,,,,
2007-05-01,IT,ISLGV111,ISLGV121,1,,,,,,,,,,
2007-05-01,IT,ISPET211,ISPET221,1,,,,,,,,,,
2007-05-01,IT,ITN2N111,ITN2N121,1,,,,,,,,,,
2007-05-01,IT,ITN2N111,ITN2N221,1,,,,,,,,,,
2007-05-01,IT,ITN2N111,ITN2N321,1,,,,,,,,,,
2007-05-01,IT,ITZNM111,ITZNM121,1,,,,,,,,,,
2007-05-01,IT,ITBGM211,ITBGM121,1,,,,,,,,,,
2007-05-01,IT,IUSTV111,IUSTV12M,1,,,,,,,,,,
2007-05-01,IT,IUSTV111,IUSTV121,2,,,,,,,,,,
2007-05-01,IT,IVDLT111,IVDLT121,1,,,,,,,,,,
2007-05-01,IT,IVDLT111,IVDLT121,2,,,,,,,,,,
2007-05-01,IT,IVERMA11,IVERMA21,1,,,,,,,,,,
2007-05-01,IT,IVIGTA11,IVIGTA21,1,,,,,,,,,,
2007-05-01,IT,IVLPR111,IVLPR11Z,1,,,,,0.953,90,32,0,0.,SYMM
2007-05-01,IT,IVLPR111,IVLPR11Z,2,,,,,0.953,90,32,32,0.,SYMM
2007-05-01,IT,IVLLRA11,IVLLRA21,1,,,,,,,,,,
2007-05-01,IT,IVLVR111,IVLVR121,1,,,,,,,,,,
