date,country,node1,node2,orderCode,phRegulU,phRegulN,phRegulNprime,U,angleRegulU,angleRegulD,angleRegulN,angleRegulNprime,angleRegulP,type
2007-05-01,NL,N_EH-21,NDKG3811,1,,,,,,,,,,
2007-05-01,NL,N_EH-11,NDKG3810,1,,,,,,,,,,
2007-05-01,NL,N_EH-31,NDKG3812,1,,,,,,,,,,
2007-05-01,NL,NEEM381S,NEEM3812,1,1.500,10,2,,,,,,,
2007-05-01,NL,NEEM381S,NEEM2220,1,,,,,,,,,,
2007-05-01,NL,NEEM381S,NEEM-510,1,,,,,,,,,,
2007-05-01,NL,NMVL381S,NMVL3810,1,1.500,10,0,,,,,,,
2007-05-01,NL,NMVL381S,NMVLA33,1,,,,,,,,,,
2007-05-01,NL,NMVL381S,NMVL-510,1,,,,,,,,,,
2007-05-01,NL,NMVL381T,NMVL3813,1,1.500,10,0,,,,,,,
2007-05-01,NL,NMVL381T,NMVLB43,1,,,,,,,,,,
2007-05-01,NL,NMVL381T,NMVL-511,1,,,,,,,,,,
2007-05-01,NL,NEEM381T,NEEM3816,1,1.500,10,2,,,,,,,
2007-05-01,NL,NEEM381T,NEEM2224,1,,,,,,,,,,
2007-05-01,NL,NEEM381T,NEEM-511,1,,,,,,,,,,
2007-05-01,NL,NBWK381T,NBWK3811,1,1.500,10,3,,,,,,,
2007-05-01,NL,NBWK381T,NZT1503A,1,,,,,,,,,,
2007-05-01,NL,NBWK381T,NBWK-511,1,,,,,,,,,,
2007-05-01,NL,NNW01 51,NWMD1150,1,1.510,16,0,,,,,,,
2007-05-01,NL,NWW01 51,NWMD1150,1,1.510,16,0,,,,,,,
2007-05-01,NL,NZW01 51,NWMD1150,1,1.510,16,0,,,,,,,
2007-05-01,NL,N_BEC15,NDZF1151,1,,,,,,,,,,
2007-05-01,NL,N_BS303,NBSL1531,1,,,,,,,,,,
2007-05-01,NL,N_CCC11,NCCCT11,1,,,,,,,,,,
2007-05-01,NL,N_CCC21,NCCCT21,1,,,,,,,,,,
