date,country,node1,node2,orderCode,phRegulU,phRegulN,phRegulNprime,U,angleRegulU,angleRegulD,angleRegulN,angleRegulNprime,angleRegulP,type
2007-05-01,PT,PZEZER21,PZEZER31,0,1.295,11,-3,,,,,,,
2007-05-01,PT,PZEZER21,PZEZER31,1,1.000,10,2,,,,,,,
2007-05-01,PT,PF.ALE11,PF.ALE31,4,1.050,12,0,,,,,,,
2007-05-01,PT,PF.ALE11,PF.ALE31,5,1.042,12,0,,,,,,,
2007-05-01,PT,PF.FER11,PF.FER31,5,1.042,12,0,,,,,,,
2007-05-01,PT,PPALME11,PPALME31,2,1.247,10,0,,,,,,,
2007-05-01,PT,PPALME11,PPALME31,3,1.247,10,0,,,,,,,
2007-05-01,PT,PSINES11,PSINES31,5,1.232,10,0,,,,,,,
2007-05-01,PT,PSINES11,PSINES31,6,1.224,10,0,,,,,,,
2007-05-01,PT,PVALDI21,PVALDI31,4,2.405,2,0,,,,,,,
2007-05-01,PT,PRIBAD11,PRIBAD31,1,1.251,12,6,,,,,,,
2007-05-01,PT,PRIBAD11,PRIBAD31,2,1.251,12,6,,,,,,,
2007-05-01,PT,PFALAG12,PFALAG31,5,0.886,10,1,,,,,,,
2007-05-01,PT,PFALAG13,PFALAG31,4,0.886,10,1,,,,,,,
2007-05-01,PT,PPORTI11,PPORTI31,4,1.042,12,0,,,,,,,
2007-05-01,PT,PC.BRA31,PC.BRA21,1,1.000,10,0,,,,,,,
2007-05-01,PT,PC.BRA31,PC.BRA21,2,1.000,10,0,,,,,,,
2007-05-01,PT,PPEDRA41,PPEDRA31,4,1.04,12,-3,,,,,,,
2007-05-01,PT,PPEDRA12,PPEDRA31,1,0.886,10,1,,,,,,,
2007-05-01,PT,PPEDRA13,PPEDRA31,2,0.886,10,1,,,,,,,
2007-05-01,PT,PTAVIR11,PTAVIR31,4,1.042,12,0,,,,,,,
2007-05-01,PT,PTAVIR11,PTAVIR31,5,1.042,12,0,,,,,,,
2007-05-01,PT,PVERMO11,PVERMO21,2,1.029,12,6,,,,,,,
2007-05-01,PT,PVERMO11,PVERMO21,3,1.027,12,6,,,,,,,
2007-05-01,PT,PA.MIR11,PA.MIR21,4,1.042,12,0,,,,,,,
2007-05-01,PT,PA.MIR11,PA.MIR21,5,1.412,12,-4,,,,,,,
2007-05-01,PT,PR.MAI11,PR.MAI21,2,1.034,12,0,,,,,,,
2007-05-01,PT,PR.MAI11,PR.MAI21,3,1.034,12,0,,,,,,,
2007-05-01,PT,PFANHO11,PFANHO21,4,1.027,12,0,,,,,,,
2007-05-01,PT,PFANHO11,PFANHO21,5,1.005,12,-2,,,,,,,
2007-05-01,PT,PFANHO11,PFANHO21,6,1.034,12,0,,,,,,,
2007-05-01,PT,PARMAM11,PARMAM21,1,1.027,12,0,,,,,,,
2007-05-01,PT,PRECAR11,PRECAR21,1,1.002,12,0,,,,,,,
2007-05-01,PT,PRECAR11,PRECAR21,2,1.034,12,2,,,,,,,
2007-05-01,PT,PPARAI11,PPARAI21,3,1.027,12,0,,,,,,,
2007-05-01,PT,PLAGOA11,PLAGOA21,1,1.027,12,0,,,,,,,
2007-05-01,PT,PLAGOA11,PLAGOA21,2,1.027,12,0,,,,,,,
2007-05-01,PT,PLAGOA11,PLAGOA21,3,1.027,12,0,,,,,,,
2007-05-01,PT,PFUNDA11,PFUNDA21,1,1.042,12,0,,,,,,,
