date,country,node1,node2,orderCode,status,ratedVoltNRW,ratedVoltRW,nomPower,restR,reactX,susceptanceB,conductanceG,currentLimA,elementName
2007-05-01,AT,OBISAM51,OBISAM11,2,0,115.0,400.0,300.0,.08878,7.9345,-2.76882,.49375,1506,BIRHU43
2007-05-01,AT,OBISAM52,OBISAM11,1,0,115.0,400.0,300.0,.08878,7.9345,-2.76882,.49375,1506,BIRHU42
2007-05-01,AT,OBISAM52,OBISAM12,3,0,115.0,400.0,300.0,.08878,7.2776,-2.76781,.49937,1506,BIRHU44
2007-05-01,AT,OBISAM52,OBISAM12,4,0,115.0,400.0,300.0,.08522,7.9345,-2.76882,.49375,1506,BIRHU41
2007-05-01,AT,OBISAM54,OBISAM21,1,0,115.0,230.0,300.0,.06700,6.5930,-32.8710,.49375,1494,BIRHU1
2007-05-01,AT,OBISAM55,OBISAM21,2,0,115.0,230.0,200.0,.11000,8.7110,-49.0830,.49375,1050,BIRHU2
2007-05-01,AT,OBISAM56,OBISAM21,3,0,115.0,230.0,220.0,.11100,7.9320,-48.7830,.49375,1144,BIRHU3
2007-05-01,AT,OBISAM56,OBISAM21,4,0,115.0,230.0,220.0,.10000,8.0120,-15.9660,.49375,1144,BIRHU4
2007-05-01,AT,ODUERN21,ODUERN11,1,0,220.0,380.0,600.0,.21968,15.786,-16.0268,5.7088,1556,DURHU41
2007-05-01,AT,ODUERN21,ODUERN11,2,0,220.0,380.0,600.0,.21968,15.786,-16.0268,5.7088,1556,DURHU42
2007-05-01,AT,ODUERN51,ODUERN21,1,0,110.0,220.0,300.0,.09142,6.8560,-30.7150,4.1322,1575,DURHU1
2007-05-01,AT,ODUERN51,ODUERN22,2,0,110.0,220.0,200.0,.17696,7.8630,-20.2437,4.1322,1050,DURHU2
2007-05-01,AT,OERNST21,OERNST11,1,0,220.0,380.0,600.0,.21968,15.873,-16.0268,5.7088,1556,EHRHU41
2007-05-01,AT,OERNST21,OERNST11,2,0,220.0,380.0,600.0,.21968,15.786,-16.0268,5.7088,1556,EHRHU42
2007-05-01,AT,OERNST21,OERNST22,2,0,220.0,220.0,600.0,.12230,12.827,63.15140,1.6833,1493,EHPST
2007-05-01,AT,OERNST51,OERNST21,3,8,110.0,220.0,300.0,.06670,6.1450,-32.9000,6.1500,1711,EHRHU3
2007-05-01,AT,OERNST51,OERNST21,4,0,110.0,220.0,300.0,.06670,6.1450,-62.1000,6.1500,1802,EHRHU4
2007-05-01,AT,OERNST52,OERNST21,1,0,110.0,220.0,220.0,.11470,8.4700,-48.8000,5.2500,1353,EHRHU1
2007-05-01,AT,OERNST52,OERNST21,5,0,110.0,220.0,300.0,.06670,6.1450,-62.1000,6.1500,1117,EHRHU5
