date,country,node1,node2,orderCode,status,ratedVoltNRW,ratedVoltRW,nomPower,restR,reactX,susceptanceB,conductanceG,currentLimA,elementName
2007-05-01,BE,BAMERC3V,BAMERC3C,1,0,150.0,150.0,331.0,0.1801,7.4288,-9.30412,4.4133,1249,AMERC150 ALT
2007-05-01,BE,BAMERC3W,BAMERC31,1,0,150.0,150.0,180.0,0.4591,13.217,-5.93296,2.4000,676,AMERC150 ALT
2007-05-01,BE,BANDUM1R,BANDUM33,2,0,400.0,165.0,555.0,0.6935,63.996,-3.41480,0.6094,784,ANDUM380 T 2
2007-05-01,BE,BANTOI30,BANTOI31,1,8,150.0,150.0,50.00,1.6380,67.480,-1.60077,0.7733,198,ANTOI150 T 1
2007-05-01,BE,BAUBAN23,BAUBAN22,3,0,243.0,243.0,600.0,0.1083,9.8409,-5.06922,1.4903,1606,AUBAN220 D 1
2007-05-01,BE,BAUBAN11,BAUBAN22,2,0,400.0,245.5,300.0,1.0082,80.527,-1.80213,0.5176,424,AUBAN380 T 2
2007-05-01,BE,BAVLGM11,BAVLGM31,1,0,400.0,165.1,450.0,0.7941,63.533,-6.64123,1.2069,819,AVLGM380 T 1
2007-05-01,BE,BAVLGM12,BAVLGM32,2,0,400.0,164.6,555.0,0.7961,64.572,-1.66562,0.4835,784,AVLGM380 T 2
2007-05-01,BE,BAWIRS21,BAWIRS31,7,0,225.0,144.9,375.0,0.2862,19.033,-4.23973,1.3333,969,AWIRS220 T 7
2007-05-01,BE,BBASF 3W,BBASF 32,1,0,150.0,150.0,467.0,0.1080,7.7161,-3.51922,7.6796,1792,BASF 150 ALT
2007-05-01,BE,BBAUDO31,BBAUDO3W,1,0,150.0,150.0,450.0,0.0995,3.1606,-119.564,10.222,1738,BAUDO150 ALT
2007-05-01,BE,BBRUEG1A,BBRUEG3B,1,0,400.0,165.0,555.0,0.6935,63.996,-3.41480,0.6094,784,BRUEG380 T 1
2007-05-01,BE,BBRUEG1S,BBRUEG12,2,0,380.0,400.0,555.0,0.2834,55.471,-1.71356,0.6072,825,BRUEG380 T 2
2007-05-01,BE,BBRUEG1S,BBRUEG32,2,0,380.0,165.0,555.0,0.4057,0.9739,0,0,790,BRUEG380 T 2
2007-05-01,BE,BBRUEG1S,BBRUEG11,2,0,380.0,358.9,75.00,2.4128,137.39,0,0,124,BRUEG380 T 2
2007-05-01,BE,BBRUME11,BBRUME21,1,0,400.0,245.4,300.0,1.1207,82.126,-2.00082,0.5006,424,BRUME380 T 1
2007-05-01,BE,BBVERW31,BBVERW3A,1,0,150.0,150.0,50.00,2.0241,99.069,-0.88192,1.0000,198,BVERW150 T2A
2007-05-01,BE,BBVREN30,BBVREN31,1,0,150.0,150.0,40.00,2.9250,61.524,-9.16090,1.2400,159,BVREN150 T 3
2007-05-01,BE,BCHIEV31,BCHIEV32,D,0,155.0,155.0,260.0,0.0538,5.5162,-1.60565,1.4514,1091,CHIEV150 D 1
2007-05-01,BE,BCKNIP31,BCKNIP3W,1,0,150.0,150.0,9999.,0.0002,0.2790,-1999.78,9.5067,39641,CKNIP150 ALT
2007-05-01,BE,BCMARE31,BCMARE3W,1,0,150.0,150.0,490.0,0.1331,7.8448,-2.97358,6.4889,1880,CMARE150 ALT
2007-05-01,BE,BCOO  11,BCOO  1R,1,0,380.0,380.0,9999.,0.0002,2.2834,-207.734,0.8310,15241,COO 380 ALT
2007-05-01,BE,BCOO  11,BCOO  1S,1,0,380.0,380.0,9999.,0.0002,2.2834,-207.734,0.8310,15241,COO 380 ALT
2007-05-01,BE,BCOO  11,BCOO  1T,1,0,380.0,380.0,9999.,0.0002,2.2834,-207.734,0.8310,15241,COO 380 ALT
2007-05-01,BE,BCOO  1U,BCOO  12,1,0,380.0,380.0,9999.,0.0010,2.2997,0,0,14880,COO 380 ALT
2007-05-01,BE,BCOO  1V,BCOO  12,1,0,380.0,380.0,9999.,0.0010,2.2997,0,0,14880,COO 380 ALT
2007-05-01,BE,BCOO  1W,BCOO  12,1,0,380.0,380.0,9999.,0.0010,2.2997,0,0,14880,COO 380 ALT
2007-05-01,BE,BCOURC11,BCOURC3R,1,0,400.0,165.0,555.0,0.7341,62.188,-0.98085,0.3476,784,COURC380 T 1
2007-05-01,BE,BCZWIJ31,BCZWIJ3U,1,0,150.0,150.0,56.00,1.2690,58.509,-8.52778,1.7778,218,CZWIJ150 ALT
2007-05-01,BE,BCZWIJ32,BCZWIJ3V,1,0,150.0,150.0,56.00,1.4183,58.505,-14.8162,1.8667,218,CZWIJ150 ALT
2007-05-01,BE,BCZWIJ31,BCZWIJ3W,1,0,150.0,150.0,62.50,1.0321,75.884,-9.55830,1.7778,241,CZWIJ150 ALT
2007-05-01,BE,BDOEL 1A,BDOEL 32,5,0,400.0,164.6,150.0,2.2557,163.08,-0.78475,0.1538,271,DOEL 380 T 5
2007-05-01,BE,BDOEL 1T,BDOEL 11,1,0,380.0,380.0,570.0,0.5252,30.356,-32.2469,2.8026,815,DOEL 380 ALT
2007-05-01,BE,BDOEL 1U,BDOEL 12,1,0,380.0,380.0,570.0,0.5252,30.356,-32.2469,2.8026,815,DOEL 380 ALT
2007-05-01,BE,BDROGE31,BDROGE3U,1,0,150.0,150.0,264.0,0.1347,9.6472,-3.40450,4.7778,1019,DROGE150 ALT
2007-05-01,BE,BDROGE33,BDROGE3V,1,0,150.0,150.0,264.0,0.1437,9.9435,-3.40450,4.7778,1019,DROGE150 ALT
2007-05-01,BE,BDROGE3W,BDROGE31,1,0,150.0,150.0,264.0,0.2515,9.6454,0,8.8000,1019,DROGE150 ALT
2007-05-01,BE,BDROGE11,BDROGE33,4,0,400.0,165.0,500.1,0.7610,63.381,-4.21342,1.1812,735,DROGE380 T 4
2007-05-01,BE,BEEKLN11,BEEKLN32,1,0,400.0,164.8,450.0,0.8268,62.899,-7.24296,1.1889,724,EEKLN380 T 1
2007-05-01,BE,BESSO 3K,BESSO 3W,1,0,150.0,150.0,153.0,0.3797,17.269,-3.65623,3.5556,587,ESSO 150 ALT
2007-05-01,BE,BFARCI31,BFARCI3R,1,0,150.0,150.0,40.00,2.0250,75.910,-1.43983,0.6978,159,FARCI150 T 1
2007-05-01,BE,BGOUY 11,BGOUY 31,3,0,400.0,164.8,450.0,0.8579,64.279,-7.11028,1.1331,784,GOUY 380 T 3
2007-05-01,BE,BGOUY 12,BGOUY 32,4,0,400.0,164.8,450.0,0.8387,64.030,-7.42031,1.1531,784,GOUY 380 T 4
2007-05-01,BE,BGRAMM1C,BGRAMM3B,1,0,400.0,158.5,450.0,1.2129,64.920,-5.22614,1.1124,635,GRAMM380 T 1
2007-05-01,BE,BHBRUG3U,BHBRUG31,1,0,150.0,150.0,215.0,0.3483,11.606,-95.0766,9.5556,809,HBRUG150 ALT
2007-05-01,BE,BHBRUG3V,BHBRUG32,1,0,150.0,150.0,215.0,0.3483,11.606,-95.0766,9.5556,809,HBRUG150 ALT
2007-05-01,BE,BHBRUG3W,BHBRUG33,1,0,150.0,150.0,215.0,0.3483,11.606,-95.0766,9.5556,809,HBRUG150 ALT
2007-05-01,BE,BHDPE 31,BHDPE 3A,1,0,150.0,150.0,30.00,4.0610,79.546,-2.50619,0.9111,119,HDPE 150 T A
2007-05-01,BE,BHELIA31,BHELIA3R,1,0,150.0,150.0,50.00,1.9800,96.730,-4.35465,0.8889,198,HELIA150 T 2
2007-05-01,BE,BHERCU31,BHERCU3R,1,0,150.0,150.0,40.00,2.8489,97.215,-6.97095,1.4049,159,HERCU150 T 1
2007-05-01,BE,BIZGEM1R,BIZGEM31,1,0,400.0,165.0,500.1,0.7588,63.119,-4.52591,1.2238,784,IZGEM380 T 1
2007-05-01,BE,BIZGEM12,BIZGEM32,2,0,400.0,164.8,450.0,0.8096,62.466,-7.23958,1.2137,734,IZGEM380 T 2
2007-05-01,BE,BJUPIL22,BJUPIL32,1,0,236.0,165.0,300.0,0.2160,24.710,-0.86069,0.4464,705,JUPIL220 T 1
2007-05-01,BE,BJUPIL21,BJUPIL3R,7,0,236.0,156.0,300.0,0.2897,22.277,-7.46177,1.0898,705,JUPIL220 T 7
2007-05-01,BE,BKALLO15,BKALLO31,5,8,400.0,165.0,555.0,0.5071,62.421,-3.41480,0.6094,784,KALLO380 T 5
2007-05-01,BE,BKETEN30,BKETEN31,1,0,150.0,150.0,125.0,0.6480,35.994,-11.0308,1.3333,496,KETEN 150 T
2007-05-01,BE,BKOKSI30,BKOKSI3A,1,0,150.0,150.0,50.00,2.2617,99.559,-0.33775,0.8222,198,KOKSI150 T1B
2007-05-01,BE,BLANAK3W,BLANAK31,1,0,150.0,150.0,55.00,1.5955,82.048,-8.07777,1.9556,218,LANAK150 T 1
2007-05-01,BE,BLANAK3W,BLANAK31,2,0,150.0,150.0,55.00,1.6364,82.416,-7.88310,1.7111,218,LANAK150 T 3
2007-05-01,BE,BLATOU20,BLATOU21,1,0,220.0,220.0,40.00,6.1854,223.62,-0.72388,0.3988,112,LATOU220 T11
2007-05-01,BE,BLATRO20,BLATRO22,1,0,220.0,220.0,90.00,2.2587,66.646,-8.26882,1.2831,243,LATRO220 T 8
