date,country,node1,node2,orderCode,status,ratedVoltNRW,ratedVoltRW,nomPower,restR,reactX,susceptanceB,conductanceG,currentLimA,elementName
2007-05-01,CH,SBASSE2T,SBASSE12,1,0,252.0,420.0,400.0,0.0815,7.1065,0.0,0.0,916,1_T3BA3201_Y
2007-05-01,CH,SBASSE2T,SBASSE21,1,0,252.0,252.0,400.0,0.0815,7.1065,0.0,0.0,916,1_T3BA3201_X
2007-05-01,CH,SBASSE2T,SBASSE61,1,0,252.0,68.6,100.0,1.357,90.429,-0.00281,0.0006,229,1_T3BA3201_Z
2007-05-01,CH,SBATIA71,SBATIA11,1,8,29.45,400.0,100.0,0.0087,1.0405,-455.525,75.614,1961,1_TRBZ30G1__
2007-05-01,CH,SBATIA71,SBATIA22,1,0,25.77,236.0,100.0,0.0057,0.6927,-683.378,112.36,2241,1_TRBZ20G1__
2007-05-01,CH,SBATIA72,SBATIA13,2,8,29.45,400.0,100.0,0.0087,1.0405,-455.525,75.614,1961,2_TRBZ30G2__
2007-05-01,CH,SBATIA72,SBATIA22,2,0,25.77,236.0,100.0,0.0057,0.6927,-683.378,112.36,2241,2_TRBZ20G2__
2007-05-01,CH,SBENKE2T,SBENKE12,1,0,247.0,400.0,600.0,0.0765,4.6215,0.0,0.0,1403,1_T3BK3201_Y
2007-05-01,CH,SBENKE2T,SBENKE21,1,0,247.0,247.0,600.0,0.0765,4.6215,0.0,0.0,1403,1_T3BK3201_X
2007-05-01,CH,SBENKE2T,SBENKE61,1,0,247.0,70.0,114.6,0.1712,36.767,-0.00589,0.0033,268,1_T3BK3201_Z
2007-05-01,CH,SBEZNA2T,SBEZNA12,1,0,247.0,420.0,800.0,0.0547,4.0645,0.0,0.0,1870,1_T3BE3201_Y
2007-05-01,CH,SBEZNA2T,SBEZNA21,1,0,247.0,247.0,800.0,0.0547,4.0645,0.0,0.0,1870,1_T3BE3201_X
2007-05-01,CH,SBEZNA2T,SBEZNA71,1,0,247.0,28.0,208.5,0.7464,63.043,-0.00789,0.0022,487,1_T3BE3201_Z
2007-05-01,CH,SBICKI1T,SBICKI11,1,8,400.0,400.0,400.0,0.2795,17.765,0.0,0.0,577,1_T3BI3232_X
2007-05-01,CH,SBICKI1T,SBICKI22,1,8,400.0,237.0,400.0,0.2795,17.765,0.0,0.0,577,1_T3BI3232_Y
2007-05-01,CH,SBICKI1T,SBICKI61,1,8,400.0,68.6,65.2,2.3985,121.53,-0.00047,0.0006,94,1_T3BI3232_Z
2007-05-01,CH,SBICKI1U,SBICKI11,2,0,400.0,400.0,400.0,0.2712,17.698,0.0,0.0,577,2_T3BI3231_X
2007-05-01,CH,SBICKI1U,SBICKI22,2,0,400.0,237.0,400.0,0.2712,17.698,0.0,0.0,577,2_T3BI3231_Y
2007-05-01,CH,SBICKI1U,SBICKI62,2,0,400.0,68.6,120.0,2.4441,121.29,-0.00077,0.0006,173,2_T3BI3231_Z
