date,country,node1,node2,orderCode,status,ratedVoltNRW,ratedVoltRW,nomPower,restR,reactX,susceptanceB,conductanceG,currentLimA,elementName
2007-05-01,IT,IBAGM111,IBAGM122,1,0,400.,230.,400.,0.5000,45.480,-1.00000,0.8000,577,BAGMTIT38022
2007-05-01,IT,IBAGM111,IBAGM121,2,0,400.,230.,400.,0.5000,45.480,-1.00000,0.8000,577,BAGMTIT38022
2007-05-01,IT,IBSAN111,IBSAN11Z,1,8,400.,400.,1800.,0.0600,7.5600,-8.00000,1.2000,2598,BSAN_IT38038
2007-05-01,IT,IBRINA11,IBRINA2Z,1,8,400.,230.,400.,0.4300,47.080,-0.60000,0.4000,577,BRINTIT38022
2007-05-01,IT,IBRUM111,IBRUM121,1,0,400.,230.,400.,0.4800,44.440,-0.60000,0.6000,577,BRUMTIT38022
2007-05-01,IT,IBRUM111,IBRUM122,2,0,400.,230.,400.,0.4600,40.920,-2.80000,0.8000,577,BRUMTIT38022
2007-05-01,IT,ICALF111,ICALF121,1,0,400.,230.,400.,0.4900,45.360,-0.60000,0.6000,577,CALFTIT38022
2007-05-01,IT,ICAMV111,ICAMV121,1,0,400.,230.,400.,0.4300,47.200,-0.80000,0.4000,577,CAMVTIT38022
2007-05-01,IT,ICMPTA21,ICMPTA22,1,0,230.,230.,450.,0.1000,7.1600,0.000000,0.0000,1130,CMPTTIT22022
2007-05-01,IT,ICANR111,ICANR12Z,1,8,400.,230.,400.,0.5400,31.460,-2.40000,0.8000,577,CANRTIR38022
2007-05-01,IT,ICANRA11,ICANRA2Z,1,8,400.,230.,400.,0.5400,31.460,-2.40000,0.8000,577,CANRTIT38022
2007-05-01,IT,ICSNT111,ICSNT121,1,0,400.,230.,400.,0.4900,45.280,-0.40000,0.4000,577,CSNTTIT38022
2007-05-01,IT,ICSSM311,ICSSM221,1,0,400.,230.,400.,0.5000,45.480,-1.00000,0.8000,577,CSSM_IT38022
2007-05-01,IT,ICEPR121,ICEPR111,1,0,205.,400.,690.,0.0263,6.6688,-10.6603,3.0458,1943,CEPR_IT38022
2007-05-01,IT,ICEPR22Z,ICEPR211,1,8,205.,400.,690.,0.0263,6.6688,-10.6603,3.0458,1943,CEPR_IT38022
2007-05-01,IT,ICISM111,ICISMB21,1,0,400.,230.,400.,0.4600,45.240,-0.60000,0.4000,577,CISMTIT38022
2007-05-01,IT,ICOLFA11,ICOLFA21,1,0,400.,230.,400.,0.4700,43.360,-0.40000,0.6000,577,COLFTIT38022
2007-05-01,IT,IDOLV111,IDOLV121,1,0,400.,230.,400.,0.4500,47.760,-0.20000,0.4000,577,DOLVTIT38022
2007-05-01,IT,IDUSV111,IDUSV121,1,0,400.,230.,400.,0.5700,30.800,-3.20000,1.0000,577,DUSVTIT38022
2007-05-01,IT,IFGPN111,IFGPN113,1,0,400.,400.,1800.,0.1000,6.7500,-8.00000,1.2000,2598,FGPN_IT38038
2007-05-01,IT,IFGPN113,IFGPN112,2,0,400.,400.,1800.,0.0600,6.7500,-8.00000,1.2000,2598,FGPN_IT38038
2007-05-01,IT,IKOTR121,IKOTR111,1,0,205.,400.,690.,0.0263,6.6688,-10.6603,3.0458,1943,KOTR_IT38022
2007-05-01,IT,IKOTR22Z,IKOTR211,1,8,205.,400.,690.,0.0263,6.6688,-10.6603,3.0458,1943,KOTR_IT38022
2007-05-01,IT,ILAIN111,ILAIN12Z,1,8,400.,230.,400.,0.4400,47.160,-0.60000,0.4000,577,LAINTIT38022
2007-05-01,IT,ILATR211,ILATR121,1,0,400.,208.,582.,0.5100,32.990,-10.6000,2.2000,840,LATRTIT38022
2007-05-01,IT,ILATR311,ILATR221,1,0,400.,208.,582.,0.5100,32.990,-10.6000,2.2000,840,LATRTIT38022
2007-05-01,IT,ILEYTA11,ILEYTA21,1,0,400.,230.,400.,0.4900,45.040,-0.80000,0.0000,577,LEYTTIT38022
2007-05-01,IT,IMCON111,IMCON121,1,0,400.,230.,400.,0.4400,44.280,-0.60000,0.6000,577,MCONTIT38022
2007-05-01,IT,IMCON111,IMCON121,2,0,400.,230.,400.,0.4400,45.240,-0.60000,0.6000,577,MCONTIT38022
2007-05-01,IT,INAVM111,INAVM121,1,0,400.,230.,400.,0.4600,43.320,-0.40000,0.6000,577,NAVMTIT38022
2007-05-01,IT,IOSPM111,IOSPM121,1,0,400.,230.,400.,0.4400,44.800,-0.60000,0.4000,577,OSPMTIT38022
2007-05-01,IT,IPDRV121,IPDRV12Z,1,8,230.,230.,370.,0.2800,15.697,-1.00000,1.6000,929,PDRVTIT22022
2007-05-01,IT,IPATN111,IPATN121,1,0,400.,230.,400.,0.5100,40.440,-3.40000,0.8000,577,PATNTIT38022
2007-05-01,IT,IPATN111,IPATN121,2,0,400.,230.,400.,0.5100,40.440,-3.40000,0.8000,577,PATNTIT38022
2007-05-01,IT,IPATN111,IPATN121,3,8,400.,230.,400.,0.5100,40.440,-3.40000,0.8000,577,PATNTIT38022
2007-05-01,IT,IPIOTA11,IPIOTA21,1,0,400.,230.,400.,0.4700,43.280,-3.40000,0.6000,577,PIOTTIT38022
2007-05-01,IT,IRDPVA11,IRDPVA21,1,0,400.,230.,400.,0.5200,38.880,-3.20000,0.8000,577,RDPVTIT38022
2007-05-01,IT,IRDPVA11,IRDPVA2M,2,0,400.,230.,600.,1.9700,36.050,-0.40000,0.6000,866,RDPVTIT38022
