date,country,node1,node2,orderCode,status,ratedVoltNRW,ratedVoltRW,nomPower,restR,reactX,susceptanceB,conductanceG,currentLimA,elementName
2007-05-01,NL,N_EH-21,NDKG3811,1,0,380.0,380.0,693.0,0.0004,38.811,0,0,1053,20BAT10
2007-05-01,NL,N_EH-11,NDKG3810,1,0,380.0,380.0,693.0,0.0004,38.811,0,0,1053,10BAT10
2007-05-01,NL,N_EH-31,NDKG3812,1,0,380.0,380.0,693.0,0.0004,38.811,0,0,1053,30BAT10
2007-05-01,NL,NEEM381S,NEEM3812,1,0,380.0,380.0,750.0,0.0912,30.585,-10.3425,0.9695,1140,#EEMT401   H
2007-05-01,NL,NEEM381S,NEEM2220,1,1,380.0,220.0,750.0,0.1241,-2.342,0,0,113951,EEM380_TR401
2007-05-01,NL,NEEM381S,NEEM-510,1,0,380.0,380.0,100.0,0.8969,58.215,0,0,15193,EEM380_TR401
2007-05-01,NL,NMVL381S,NMVL3810,1,0,380.0,380.0,450.0,0.5536,58.565,-5.88354,2.0568,684,#MVLT401   H
2007-05-01,NL,NMVL381S,NMVLA33,1,1,380.0,150.0,450.0,0.4233,-2.097,0,0,68370,MVL_TR401
2007-05-01,NL,NMVL381S,NMVL-510,1,0,380.0,380.0,150.0,1.4000,56.939,0,0,22790,MVL_TR401
2007-05-01,NL,NMVL381T,NMVL3813,1,0,380.0,380.0,450.0,0.6165,65.798,-6.15682,0.9695,684,#MVLT402   H
2007-05-01,NL,NMVL381T,NMVLB43,1,1,380.0,150.0,450.0,0.3598,-7.276,0,0,68370,MVL_TR402
2007-05-01,NL,NMVL381T,NMVL-511,1,0,380.0,380.0,150.0,0.9046,56.452,0,0,22790,MVL_TR402
2007-05-01,NL,NEEM381T,NEEM3816,1,0,380.0,380.0,750.0,0.0912,31.669,-10.3425,0.9695,1140,#EEMT402   H
2007-05-01,NL,NEEM381T,NEEM2224,1,1,380.0,220.0,750.0,0.1241,-2.558,0,0,113951,EEM380_TR402
2007-05-01,NL,NEEM381T,NEEM-511,1,0,380.0,380.0,100.0,0.8969,56.410,0,0,15193,EEM380_TR402
2007-05-01,NL,NBWK381T,NBWK3811,1,0,380.0,380.0,500.0,0.3940,61.494,-6.85700,0.9695,760,#BWKT413   H
2007-05-01,NL,NBWK381T,NZT1503A,1,1,380.0,150.0,500.0,0.2645,-3.882,0,0,75967,BWK_TR413
2007-05-01,NL,NBWK381T,NBWK-511,1,0,380.0,380.0,167.0,0.9522,54.364,0,0,25373,BWK_TR413
2007-05-01,NL,NNW01 51,NWMD1150,1,0,110.0,110.0,300.0,0.0396,5.9168,0,0,1575,NW01 TR101
2007-05-01,NL,NWW01 51,NWMD1150,1,0,110.0,110.0,288.0,0.0429,6.1633,0,0,1512,WW01 TR101
2007-05-01,NL,NZW01 51,NWMD1150,1,0,110.0,110.0,288.0,0.0429,6.1633,0,0,1512,ZW01 TR101
2007-05-01,NL,N_BEC15,NDZF1151,1,0,110.0,110.0,55.00,0.5800,39.596,0,0,289,BEC Tr
2007-05-01,NL,N_BS303,NBSL1531,1,0,150.0,150.0,570.0,0.0886,6.9608,0,0,2194,TR_BS30
2007-05-01,NL,N_CCC11,NCCCT11,1,0,380.0,380.0,343.0,0.0015,77.143,0,0,521,TR-CCC1
2007-05-01,NL,N_CCC21,NCCCT21,1,0,380.0,380.0,343.0,0.0015,77.143,0,0,521,TR-CCC2
2007-05-01,NL,N_CCC31,NCCCT31,1,0,380.0,380.0,343.0,0.0015,77.143,0,0,521,TR CCC3
2007-05-01,NL,N_BEC 3,NCU1503A,1,0,150.0,150.0,44.00,2.1870,96.204,-4.70356,1.3333,169,TR BEC
2007-05-01,NL,NULW153A,NULW1531,1,0,150.0,150.0,450.0,0.0122,2.6500,-49.9758,1.5556,1732,ULW-ODR W DR
2007-05-01,NL,N_PG023,NGVT2 31,1,0,150.0,150.0,200.0,0.2531,15.748,0,0,770,TrPG02
2007-05-01,NL,N_PG013,NGVT2 30,1,0,150.0,150.0,200.0,0.2531,15.748,0,0,770,TrPG01
2007-05-01,NL,N_LTG 5,NLUTTE51,1,0,110.0,110.0,88.00,0.3245,35.214,0,0,462,LTG1 T111
2007-05-01,NL,NOZN381U,NOZN3810,1,0,380.0,380.0,500.0,0.6483,73.683,-6.85700,0.9695,760,#OZNT403   H
2007-05-01,NL,NOZN381U,NOZN1533,1,0,380.0,150.0,381.0,0.4857,1.0857,0,0,57887,OZN_TR403
2007-05-01,NL,NOZN381U,NOZN-512,1,0,380.0,380.0,149.0,1.0428,55.588,0,0,22638,OZN_TR403
2007-05-01,NL,NULW153C,NULW1530,1,0,150.0,150.0,450.0,0.0122,2.6500,-49.9758,1.5556,1732,ULW-ODR Z DR
2007-05-01,NL,N_DES15,NDZW1151,1,0,110.0,110.0,554.0,0.0440,3.5269,0,0,2908,DZW T201
2007-05-01,NL,NDDZ5031,NDDZ153A,1,0,150.0,150.0,150.0,0.0010,22.500,0,0,577,DdZ1(1)
2007-05-01,NL,NDDZ5031,NDDZ153B,1,0,150.0,150.0,150.0,0.0010,22.500,0,0,577,DdZ2(1)
2007-05-01,NL,NAKZO 5A,NAKU115A,1,8,110.0,110.0,30.00,1.6704,65.522,0,0,157,AKU_TR111
2007-05-01,NL,NAKZO 5B,NAKU115B,1,8,110.0,110.0,30.00,1.6704,65.522,0,0,157,AKU_TR112
2007-05-01,NL,N_EC-32,NEC3CA2,1,0,220.0,220.0,440.0,0.1995,15.628,0,0,1155,Tr-EC3
2007-05-01,NL,N_EC-42,NEC4CA2,1,0,220.0,220.0,440.0,0.1995,15.628,0,0,1155,Tr-EC4
2007-05-01,NL,N_EC-52,NEC5CA2,1,0,220.0,220.0,440.0,0.1995,15.628,0,0,1155,Tr-EC5
2007-05-01,NL,NEHH381S,NEHH3811,1,8,380.0,380.0,750.0,0.0912,31.529,-10.3425,0.9695,1140,EHH380_TR421
2007-05-01,NL,NEHH381S,NEHH2221,1,9,380.0,220.0,750.0,0.1241,-3.131,0,0,1140,EHH380_TR421
2007-05-01,NL,NEHH381S,NEHH-51,1,0,380.0,380.0,100.0,0.8969,56.549,0,0,152,EHH380_TR421
2007-05-01,NL,NEGEN_11,NEGEN_10,1,0,380.0,380.0,500.0,0.0006,57.760,0,0,760,tr.Egen1
2007-05-01,NL,NEGEN_12,NEGEN_10,1,0,380.0,380.0,500.0,0.0006,57.760,0,0,760,tr.Egen2
2007-05-01,NL,N_CR101,NMV-E 1,1,0,380.0,380.0,1000.,0.1891,18.912,0,0,1519,ELBtr
2007-05-01,NL,N_AVIZ5,NHGLA151,1,0,110.0,110.0,55.00,0.5800,39.596,0,0,289,HGL1A T112
2007-05-01,NL,N_AVIW5,NHGLA152,1,0,110.0,110.0,55.00,0.5800,39.596,0,0,289,HGL1A T111
2007-05-01,NL,N_SAL05,NHGLB151,1,0,110.0,110.0,80.00,0.5838,45.986,0,0,420,THGLS110.TR1
2007-05-01,NL,N_MK123H,NULW1533,1,0,162.0,162.0,295.0,0.0099,1.1907,-22.4781,0.3810,1051,TrMK12_HVHV
2007-05-01,NL,N_MV-31,NMVTR311,1,0,380.0,380.0,1400.,0.3118,22.756,-18.5615,5.6094,2127,MV3tr1
2007-05-01,NL,N_MV-31,NMVTR310,1,8,380.0,380.0,700.0,0.6235,45.512,-9.28075,2.8047,1064,MV3tr2
2007-05-01,NL,N_MV-11,NMVTR11,1,0,380.0,380.0,625.0,0.5089,31.801,0,0,950,Tr-MV1
2007-05-01,NL,N_MV-21,NMVTR21,1,0,380.0,380.0,625.0,0.5089,31.801,0,0,950,Tr-MV2
2007-05-01,NL,NZKL381U,NZKL381O,1,0,380.0,380.0,400.0,0.0393,58.494,-5.39811,1.2465,608,ZKL_TR423
2007-05-01,NL,NZKL381U,NZKL222O,1,1,380.0,220.0,400.0,0.4571,-6.512,0,0,608,ZKL_TR423
2007-05-01,NL,NZKL381U,NZKL0311,1,0,380.0,380.0,72.00,3.0248,122.98,0,0,109,ZKL_TR423
2007-05-01,NL,NZKL381V,NZKL381P,1,0,380.0,380.0,400.0,0.0393,58.494,-5.39811,1.2465,608,ZKL_TR424
2007-05-01,NL,NZKL381V,NZKL222P,1,1,380.0,220.0,400.0,0.4571,-6.512,0,0,608,ZKL_TR424
