date,country,node1,node2,orderCode,status,ratedVoltNRW,ratedVoltRW,nomPower,restR,reactX,susceptanceB,conductanceG,currentLimA,elementName
2007-05-01,PT,PZEZER21,PZEZER31,0,8,220.,150.,150.,0.5421,23.112,-11.1260,1.5806,577,
2007-05-01,PT,PZEZER21,PZEZER31,1,0,220.,153.,250.,0.3252,19.350,-1.60124,0.7500,1010,
2007-05-01,PT,PF.ALE11,PF.ALE31,4,0,400.,150.,250.,1.4240,76.592,-3.45625,0.4562,1010,
2007-05-01,PT,PF.ALE11,PF.ALE31,5,0,400.,150.,250.,1.4240,76.336,-2.39375,0.5188,1010,
2007-05-01,PT,PF.FER11,PF.FER31,5,0,400.,150.,450.,0.6720,44.048,-7.05937,1.2656,1819,
2007-05-01,PT,PPALME11,PPALME31,2,0,400.,150.,450.,0.6880,45.408,-9.16875,1.3813,1819,
2007-05-01,PT,PPALME11,PPALME31,3,0,400.,150.,450.,0.6880,45.456,-10.7750,1.4062,1819,
2007-05-01,PT,PSINES11,PSINES31,5,0,400.,150.,360.,0.8640,55.232,-3.53125,0.9688,1455,
2007-05-01,PT,PSINES11,PSINES31,6,0,400.,150.,360.,0.8960,54.448,-1.68750,0.8125,1455,
2007-05-01,PT,PVALDI21,PVALDI31,4,0,220.,150.,80.,1.0164,42.567,-1.51240,0.5372,323,
2007-05-01,PT,PRIBAD11,PRIBAD31,1,0,400.,161.,360.,0.9600,71.328,-3.64375,0.8750,1455,
2007-05-01,PT,PRIBAD11,PRIBAD31,2,0,400.,161.,360.,0.9600,71.328,-3.41875,0.9000,1455,
2007-05-01,PT,PFALAG12,PFALAG31,5,0,400.,149.,450.,0.3280,31.872,-2.72500,1.9750,2079,
2007-05-01,PT,PFALAG13,PFALAG31,4,0,400.,149.,450.,0.3280,31.872,-2.72500,1.9750,2079,
2007-05-01,PT,PPORTI11,PPORTI31,4,0,400.,150.,450.,0.6880,55.808,-0.64687,1.1531,1819,
2007-05-01,PT,PC.BRA31,PC.BRA21,1,0,150.,220.,250.,0.1125,9.0900,-5.66667,2.0000,689,
2007-05-01,PT,PC.BRA31,PC.BRA21,2,0,150.,220.,250.,0.1530,9.1080,-8.60444,1.7333,689,
2007-05-01,PT,PPEDRA41,PPEDRA31,4,0,130.,145.,140.,0.000,19.676,-3.37278,3.9645,566,
2007-05-01,PT,PPEDRA12,PPEDRA31,1,0,400.,149.,450.,0.3280,31.872,-2.72500,1.9750,2079,
2007-05-01,PT,PPEDRA13,PPEDRA31,2,0,400.,149.,450.,0.3360,32.888,-6.18750,1.2375,2079,
2007-05-01,PT,PTAVIR11,PTAVIR31,4,0,400.,150.,450.,0.7040,55.648,-0.70312,1.1563,1819,
2007-05-01,PT,PTAVIR11,PTAVIR31,5,0,400.,150.,450.,1.2096,55.648,-1.11125,0.4363,1819,
2007-05-01,PT,PVERMO11,PVERMO21,2,0,400.,234.,450.,0.6080,56.864,-0.69875,0.7062,1240,
2007-05-01,PT,PVERMO11,PVERMO21,3,0,400.,234.,450.,0.5600,57.120,-0.70000,0.7037,1240,
2007-05-01,PT,PA.MIR11,PA.MIR21,4,0,400.,220.,450.,0.5600,42.336,-2.70000,0.8438,1240,
2007-05-01,PT,PA.MIR11,PA.MIR21,5,0,400.,219.,450.,0.5440,56.976,-0.59375,0.7062,1240,
2007-05-01,PT,PR.MAI11,PR.MAI21,2,0,400.,220.,450.,0.6560,44.336,-2.84375,0.9313,1240,
2007-05-01,PT,PR.MAI11,PR.MAI21,3,0,400.,220.,450.,0.6720,44.672,-6.35625,0.9875,1240,
2007-05-01,PT,PFANHO11,PFANHO21,4,0,400.,220.,450.,0.5600,56.672,-0.67812,0.6750,1240,
2007-05-01,PT,PFANHO11,PFANHO21,5,0,400.,220.,450.,0.6400,41.776,-2.36250,0.8438,1240,
2007-05-01,PT,PFANHO11,PFANHO21,6,0,400.,220.,450.,0.6400,42.960,-2.86875,0.9000,1240,
2007-05-01,PT,PARMAM11,PARMAM21,1,0,400.,220.,450.,0.5552,56.675,-0.65937,0.7375,1240,
2007-05-01,PT,PRECAR11,PRECAR21,1,0,400.,225.,450.,0.5920,41.664,-2.53125,0.8438,1240,
2007-05-01,PT,PRECAR11,PRECAR21,2,0,400.,225.,450.,0.5760,41.984,-3.19813,0.8750,1240,
2007-05-01,PT,PPARAI11,PPARAI21,3,0,400.,220.,450.,0.5600,56.384,-0.81250,0.7200,1240,
2007-05-01,PT,PLAGOA11,PLAGOA21,1,0,400.,220.,450.,0.5600,57.424,-0.71375,0.7062,1240,
2007-05-01,PT,PLAGOA11,PLAGOA21,2,0,400.,220.,450.,0.5600,56.672,-0.67250,0.7625,1240,
2007-05-01,PT,PLAGOA11,PLAGOA21,3,0,400.,220.,450.,0.5600,57.568,-0.68500,0.7312,1240,
2007-05-01,PT,PFUNDA11,PFUNDA21,1,0,400.,220.,450.,0.7856,57.987,-2.29500,0.6188,1181,
2007-05-01,PT,PFALAG11,PFALAG12,5,0,400.,400.,450.,0.3280,31.872,-2.72500,1.9750,779,
2007-05-01,PT,PFALAG11,PFALAG13,4,0,400.,400.,450.,0.3280,31.872,-2.72500,1.9750,779,
2007-05-01,PT,PPEDRA11,PPEDRA12,1,0,400.,400.,450.,0.3280,31.872,-2.72500,1.9750,779,
2007-05-01,PT,PPEDRA11,PPEDRA13,2,0,400.,400.,450.,0.3280,31.872,-2.72500,1.9750,779,
